"",BBFB1.Q.N.DE.A5.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:08,
1991-01,191.036,
1991-04,180.792,
1991-07,-19.805,
1991-10,217.803,
1992-01,107.917,
1992-04,380.737,
1992-07,153.285,
1992-10,238.383,
1993-01,227.611,
1993-04,201.446,
1993-07,336.913,
1993-10,269.464,
1994-01,-0.924,
1994-04,41.047,
1994-07,178.025,
1994-10,146.274,
1995-01,221.946,
1995-04,155.181,
1995-07,311.324,
1995-10,194.383,
1996-01,249.191,
1996-04,47.714,
1996-07,173.410,
1996-10,310.415,
1997-01,269.092,
1997-04,-28.139,
1997-07,307.572,
1997-10,458.781,
1998-01,496.932,
1998-04,117.808,
1998-07,853.580,
1998-10,663.792,
1999-01,835.473,
1999-04,399.460,
1999-07,832.132,
1999-10,1107.251,
2000-01,518.614,
2000-04,599.398,
2000-07,1117.800,
2000-10,1108.377,
2001-01,369.442,
2001-04,671.909,
2001-07,1176.973,
2001-10,1031.207,
2002-01,933.920,
2002-04,1217.753,
2002-07,1067.024,
2002-10,1464.200,
2003-01,619.664,
2003-04,637.994,
2003-07,506.316,
2003-10,599.977,
2004-01,1074.320,
2004-04,1015.851,
2004-07,1126.209,
2004-10,1437.892,
2005-01,1272.276,
2005-04,902.116,
2005-07,1757.074,
2005-10,1211.665,
2006-01,1290.373,
2006-04,1061.277,
2006-07,1420.605,
2006-10,2049.705,
2007-01,1446.350,
2007-04,1360.791,
2007-07,1918.006,
2007-10,1049.854,
2008-01,309.048,
2008-04,1717.439,
2008-07,2163.796,
2008-10,1409.531,
2009-01,601.488,
2009-04,84.248,
2009-07,801.533,
2009-10,967.201,
2010-01,934.619,
2010-04,1148.813,
2010-07,1889.985,
2010-10,1761.498,
2011-01,1056.406,
2011-04,1100.466,
2011-07,1308.137,
2011-10,1302.452,
2012-01,1687.461,
2012-04,989.703,
2012-07,1919.361,
2012-10,1931.350,
2013-01,2220.385,
2013-04,1884.385,
2013-07,1808.553,
2013-10,2337.561,
2014-01,1977.482,Provisional value
2014-04,1853.028,Provisional value
2014-07,2606.520,Provisional value
