"",BBK01.OXA8I4,BBK01.OXA8I4_FLAGS
"",Loans to households domiciled in euro-area member states (including domestic) - Total    All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:21,
2009-12,1414.991,
2010-01,1409.788,
2010-02,1407.779,
2010-03,1410.144,
2010-04,1410.329,
2010-05,1411.912,
2010-06,1415.752,
2010-07,1416.646,
2010-08,1418.968,
2010-09,1420.925,
2010-10,1421.142,
2010-11,1423.274,
2010-12,1421.982,
2011-01,1417.776,
2011-02,1416.612,
2011-03,1417.633,
2011-04,1417.806,
2011-05,1421.152,
2011-06,1422.987,
2011-07,1423.128,
2011-08,1429.845,
2011-09,1433.917,
2011-10,1433.772,
2011-11,1436.047,
2011-12,1436.167,
2012-01,1433.329,
2012-02,1433.046,
2012-03,1434.601,
2012-04,1436.848,
2012-05,1439.671,
2012-06,1440.912,
2012-07,1442.962,
2012-08,1445.469,
2012-09,1448.201,
2012-10,1450.871,
2012-11,1453.165,
2012-12,1452.614,
2013-01,1448.868,
2013-02,1448.824,
2013-03,1450.153,
2013-04,1451.440,
2013-05,1453.407,
2013-06,1456.037,
2013-07,1457.934,
2013-08,1461.806,
2013-09,1464.191,
2013-10,1465.788,
2013-11,1466.896,
2013-12,1466.969,
2014-01,1463.269,
2014-02,1464.774,
2014-03,1466.434,
2014-04,1468.044,
2014-05,1469.670,
2014-06,1473.107,
2014-07,1475.548,
2014-08,1479.493,
2014-09,1483.029,
2014-10,1486.089,
2014-11,1487.234,
2014-12,1489.379,Provisional value
