"",BBK01.CEBD01,BBK01.CEBD01_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:34,
1991-01,91.5,
1991-04,102.8,
1991-07,98.2,
1991-10,96.7,
1992-01,91.9,
1992-04,95.5,
1992-07,94.4,
1992-10,99.4,
1993-01,98.5,
1993-04,92.2,
1993-07,94.6,
1993-10,113.5,
1994-01,98.4,
1994-04,101.4,
1994-07,103.7,
1994-10,117.8,
1995-01,101.9,
1995-04,104.0,
1995-07,104.6,
1995-10,128.7,
1996-01,109.5,
1996-04,113.6,
1996-07,118.0,
1996-10,152.5,
1997-01,126.0,
1997-04,126.4,
1997-07,124.7,
1997-10,142.4,
1998-01,125.9,
1998-04,128.7,
1998-07,126.6,
1998-10,152.1,
1999-01,150.9,
1999-04,148.7,
1999-07,155.0,
1999-10,158.5,
2000-01,151.4,
2000-04,155.5,
2000-07,152.0,
2000-10,169.1,
2001-01,155.9,
2001-04,158.6,
2001-07,159.6,
2001-10,179.8,
2002-01,135.0,
2002-04,141.6,
2002-07,145.2,
2002-10,159.5,
2003-01,141.3,
2003-04,152.0,
2003-07,154.0,
2003-10,164.9,
2004-01,159.4,
2004-04,168.5,
2004-07,172.6,
2004-10,178.3,
2005-01,177.0,
2005-04,187.7,
2005-07,193.1,
2005-10,209.2,
2006-01,200.2,
2006-04,204.3,
2006-07,203.9,
2006-10,221.1,
2007-01,215.5,
2007-04,219.2,
2007-07,218.0,
2007-10,231.3,
2008-01,221.9,
2008-04,222.9,
2008-07,240.3,
2008-10,256.9,
2009-01,262.0,
2009-04,278.4,
2009-07,296.6,
2009-10,319.6,
2010-01,316.4,
2010-04,316.2,
2010-07,315.8,
2010-10,313.0,
2011-01,313.2,
2011-04,310.9,
2011-07,331.6,
2011-10,351.8,
2012-01,346.4,
2012-04,360.5,
2012-07,381.2,
2012-10,413.2,
2013-01,385.0,
2013-04,392.5,
2013-07,413.8,
2013-10,426.8,
2014-01,414.1,
