"",BBK01.OELB13T,BBK01.OELB13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:34,
2002-01,0.610,
2002-04,0.616,
2002-07,0.618,
2002-10,0.608,
2003-01,0.610,
2003-04,0.615,
2003-07,0.614,
2003-10,0.606,
2004-01,0.602,
2004-04,0.599,
2004-07,0.590,
2004-10,0.593,
2005-01,0.591,
2005-04,0.596,
2005-07,0.591,
2005-10,0.586,
2006-01,0.583,
2006-04,0.589,
2006-07,0.573,
2006-10,0.565,
2007-01,0.565,
2007-04,0.570,
2007-07,0.569,
2007-10,0.565,
2008-01,0.569,
2008-04,0.577,
2008-07,0.577,
2008-10,0.571,
2009-01,0.577,
2009-04,0.580,
2009-07,0.588,
2009-10,0.585,
2010-01,0.604,
2010-04,0.619,
2010-07,0.616,
2010-10,0.603,
2011-01,0.606,
2011-04,0.620,
2011-07,0.613,
2011-10,0.645,
2012-01,0.652,
2012-04,0.861,
2012-07,0.865,
2012-10,0.876,
2013-01,0.881,
2013-04,0.888,
2013-07,0.896,
2013-10,0.900,
2014-01,0.918,
2014-04,0.925,
2014-07,0.932,
