"",BBK01.OEBI01S,BBK01.OEBI01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:16,
2002-01,3.984,
2002-04,3.946,
2002-07,3.859,
2002-10,3.773,
2003-01,3.508,
2003-04,3.392,
2003-07,3.441,
2003-10,3.474,
2004-01,3.226,
2004-04,3.224,
2004-07,3.232,
2004-10,3.414,
2005-01,4.925,
2005-04,4.809,
2005-07,4.854,
2005-10,5.095,
2006-01,5.082,
2006-04,5.105,
2006-07,5.104,
2006-10,5.405,
2007-01,5.601,
2007-04,5.613,
2007-07,5.754,
2007-10,6.118,
2008-01,6.067,
2008-04,6.192,
2008-07,6.486,
2008-10,6.963,
2009-01,6.946,
2009-04,7.175,
2009-07,7.077,
2009-10,7.211,
2010-01,7.053,
2010-04,7.232,
2010-07,7.286,
2010-10,7.623,
2011-01,7.458,
2011-04,7.396,
2011-07,7.480,
2011-10,7.930,
2012-01,8.027,
2012-04,8.028,
2012-07,8.228,
2012-10,8.393,
2013-01,7.973,
2013-04,8.426,
2013-07,8.468,
2013-10,8.727,
2014-01,8.551,
2014-04,8.651,
2014-07,8.902,
