"",BBDE1.M.DE.Y.AEA1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2P320000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:00,
1991-01,59.9,
1991-02,55.5,
1991-03,58.3,
1991-04,56.0,
1991-05,56.4,
1991-06,57.4,
1991-07,56.2,
1991-08,62.3,
1991-09,56.3,
1991-10,57.3,
1991-11,58.7,
1991-12,59.8,
1992-01,58.2,
1992-02,59.8,
1992-03,59.1,
1992-04,58.1,
1992-05,55.8,
1992-06,54.0,
1992-07,53.1,
1992-08,53.7,
1992-09,55.4,
1992-10,50.0,
1992-11,50.7,
1992-12,53.6,
1993-01,50.6,
1993-02,48.7,
1993-03,47.8,
1993-04,47.6,
1993-05,50.1,
1993-06,48.7,
1993-07,49.2,
1993-08,48.7,
1993-09,53.1,
1993-10,51.6,
1993-11,51.1,
1993-12,53.6,
1994-01,48.4,
1994-02,51.0,
1994-03,53.7,
1994-04,53.2,
1994-05,51.9,
1994-06,54.4,
1994-07,54.0,
1994-08,52.5,
1994-09,54.8,
1994-10,56.1,
1994-11,56.9,
1994-12,58.0,
1995-01,53.7,
1995-02,55.3,
1995-03,56.1,
1995-04,54.0,
1995-05,57.6,
1995-06,53.9,
1995-07,58.2,
1995-08,54.2,
1995-09,56.5,
1995-10,53.8,
1995-11,57.8,
1995-12,56.9,
1996-01,54.7,
1996-02,54.9,
1996-03,57.6,
1996-04,57.4,
1996-05,57.0,
1996-06,58.8,
1996-07,58.3,
1996-08,58.0,
1996-09,57.1,
1996-10,59.3,
1996-11,58.3,
1996-12,57.5,
1997-01,59.0,
1997-02,57.8,
1997-03,61.1,
1997-04,62.6,
1997-05,61.0,
1997-06,61.6,
1997-07,61.7,
1997-08,62.8,
1997-09,64.7,
1997-10,63.3,
1997-11,63.0,
1997-12,64.2,
1998-01,66.6,
1998-02,66.1,
1998-03,68.3,
1998-04,68.3,
1998-05,66.9,
1998-06,66.5,
1998-07,68.2,
1998-08,64.6,
1998-09,68.9,
1998-10,65.7,
1998-11,64.3,
1998-12,67.5,
1999-01,64.9,
1999-02,66.0,
1999-03,65.5,
1999-04,66.5,
1999-05,65.8,
1999-06,69.9,
1999-07,68.7,
1999-08,73.4,
1999-09,72.0,
1999-10,72.3,
1999-11,72.6,
1999-12,72.4,
2000-01,71.0,
2000-02,76.0,
2000-03,77.5,
2000-04,79.5,
2000-05,78.7,
2000-06,81.6,
2000-07,81.6,
2000-08,80.2,
2000-09,80.6,
