"",BBFB1.Q.N.DE.PL.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:28,
1991-01,46.189,
1991-04,47.173,
1991-07,51.703,
1991-10,182.504,
1992-01,48.867,
1992-04,48.472,
1992-07,122.951,
1992-10,38.451,
1993-01,28.859,
1993-04,97.318,
1993-07,59.829,
1993-10,48.524,
1994-01,66.543,
1994-04,70.868,
1994-07,81.148,
1994-10,61.020,
1995-01,45.551,
1995-04,56.765,
1995-07,48.939,
1995-10,57.238,
1996-01,41.248,
1996-04,45.809,
1996-07,45.713,
1996-10,50.237,
1997-01,52.065,
1997-04,52.210,
1997-07,60.987,
1997-10,61.294,
1998-01,51.038,
1998-04,54.876,
1998-07,57.962,
1998-10,53.639,
1999-01,53.541,
1999-04,53.161,
1999-07,61.971,
1999-10,114.770,
2000-01,66.051,
2000-04,57.367,
2000-07,59.270,
2000-10,60.399,
2001-01,59.166,
2001-04,92.245,
2001-07,289.199,
2001-10,115.153,
2002-01,173.162,
2002-04,87.851,
2002-07,88.007,
2002-10,144.540,
2003-01,69.447,
2003-04,90.346,
2003-07,79.471,
2003-10,79.007,
2004-01,123.934,
2004-04,114.617,
2004-07,186.081,
2004-10,99.318,
2005-01,56.952,
2005-04,67.511,
2005-07,57.001,
2005-10,57.981,
2006-01,59.352,
2006-04,58.055,
2006-07,56.407,
2006-10,72.025,
2007-01,72.267,
2007-04,68.621,
2007-07,62.402,
2007-10,65.174,
2008-01,64.886,
2008-04,68.134,
2008-07,71.999,
2008-10,73.957,
2009-01,56.846,
2009-04,66.666,
2009-07,63.267,
2009-10,67.112,
2010-01,71.508,
2010-04,97.429,
2010-07,83.998,
2010-10,82.467,
2011-01,74.096,
2011-04,87.678,
2011-07,84.722,
2011-10,86.101,
2012-01,85.467,
2012-04,91.794,
2012-07,88.993,
2012-10,96.434,
2013-01,108.693,
2013-04,129.473,
2013-07,99.203,
2013-10,106.866,
2014-01,110.013,Provisional value
2014-04,136.961,Provisional value
2014-07,121.460,Provisional value
