"",BBK01.OEYM04I,BBK01.OEYM04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:50,
2002-01,0.394,
2002-04,0.577,
2002-07,0.546,
2002-10,0.526,
2003-01,0.907,
2003-04,0.627,
2003-07,0.068,
2003-10,0.480,
2004-01,0.498,
2004-04,1.029,
2004-07,1.506,
2004-10,1.184,
2005-01,1.374,
2005-04,1.553,
2005-07,1.420,
2005-10,1.211,
2006-01,1.767,
2006-04,1.626,
2006-07,1.065,
2006-10,1.476,
2007-01,1.127,
2007-04,0.750,
2007-07,2.994,
2007-10,0.983,
2008-01,1.174,
2008-04,1.495,
2008-07,1.721,
2008-10,1.249,
2009-01,1.490,
2009-04,1.757,
2009-07,1.595,
2009-10,1.429,
2010-01,2.054,
2010-04,2.428,
2010-07,2.017,
2010-10,1.524,
2011-01,1.538,
2011-04,1.796,
2011-07,3.294,
2011-10,2.829,
2012-01,3.155,
2012-04,4.071,
2012-07,3.330,
2012-10,4.627,
2013-01,4.328,
2013-04,5.372,
2013-07,5.749,
2013-10,5.142,
2014-01,5.344,
2014-04,6.217,
2014-07,6.396,
