"",BBK01.OEAE04J,BBK01.OEAE04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:34,
2002-01,1.304,
2002-04,1.317,
2002-07,1.367,
2002-10,1.444,
2003-01,1.414,
2003-04,1.430,
2003-07,1.428,
2003-10,1.432,
2004-01,1.418,
2004-04,1.405,
2004-07,1.405,
2004-10,1.507,
2005-01,1.590,
2005-04,1.595,
2005-07,1.624,
2005-10,1.656,
2006-01,1.620,
2006-04,1.686,
2006-07,1.642,
2006-10,1.588,
2007-01,1.607,
2007-04,1.628,
2007-07,1.644,
2007-10,1.631,
2008-01,1.698,
2008-04,1.760,
2008-07,1.674,
2008-10,1.616,
2009-01,1.419,
2009-04,1.509,
2009-07,1.520,
2009-10,1.513,
2010-01,1.681,
2010-04,1.539,
2010-07,1.550,
2010-10,1.616,
2011-01,1.586,
2011-04,1.991,
2011-07,1.635,
2011-10,1.653,
2012-01,1.662,
2012-04,1.726,
2012-07,1.806,
2012-10,1.815,
2013-01,1.907,
2013-04,1.916,
2013-07,1.961,
2013-10,1.998,
2014-01,2.067,
2014-04,2.060,
2014-07,1.989,
