"",BBK01.OEBB08M,BBK01.OEBB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:27,
2002-01,22.406,
2002-04,22.462,
2002-07,22.549,
2002-10,22.459,
2003-01,22.418,
2003-04,22.466,
2003-07,22.428,
2003-10,22.411,
2004-01,22.231,
2004-04,22.295,
2004-07,22.469,
2004-10,22.236,
2005-01,28.416,
2005-04,29.815,
2005-07,30.084,
2005-10,30.180,
2006-01,30.207,
2006-04,31.981,
2006-07,31.835,
2006-10,31.186,
2007-01,34.097,
2007-04,31.398,
2007-07,31.128,
2007-10,30.947,
2008-01,30.546,
2008-04,30.505,
2008-07,29.361,
2008-10,28.984,
2009-01,28.793,
2009-04,30.401,
2009-07,30.084,
2009-10,29.326,
2010-01,29.221,
2010-04,29.225,
2010-07,29.658,
2010-10,29.546,
2011-01,30.249,
2011-04,30.210,
2011-07,30.102,
2011-10,29.866,
2012-01,29.716,
2012-04,29.720,
2012-07,29.871,
2012-10,29.918,
2013-01,29.799,
2013-04,29.938,
2013-07,29.701,
2013-10,29.853,
2014-01,29.614,
2014-04,29.969,
2014-07,30.004,
