"",BBK01.OEHL01H,BBK01.OEHL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:26,
2002-01,83.767,
2002-04,83.455,
2002-07,83.035,
2002-10,84.881,
2003-01,85.406,
2003-04,85.082,
2003-07,84.552,
2003-10,85.658,
2004-01,85.676,
2004-04,85.252,
2004-07,84.759,
2004-10,86.095,
2005-01,86.171,
2005-04,85.948,
2005-07,85.608,
2005-10,86.791,
2006-01,87.065,
2006-04,86.911,
2006-07,86.409,
2006-10,87.506,
2007-01,87.348,
2007-04,87.537,
2007-07,87.439,
2007-10,89.225,
2008-01,88.766,
2008-04,88.546,
2008-07,87.862,
2008-10,90.862,
2009-01,91.285,
2009-04,91.258,
2009-07,90.572,
2009-10,92.697,
2010-01,93.679,
2010-04,94.112,
2010-07,94.201,
2010-10,95.714,
2011-01,95.852,
2011-04,95.896,
2011-07,95.539,
2011-10,96.922,
2012-01,97.115,
2012-04,97.642,
2012-07,97.824,
2012-10,98.981,
2013-01,99.401,
2013-04,99.803,
2013-07,99.460,
2013-10,100.852,
2014-01,100.915,
2014-04,101.281,
2014-07,101.335,
