"",BBK01.OECB10V,BBK01.OECB10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:23,
2002-01,0.941,
2002-04,0.923,
2002-07,0.924,
2002-10,0.853,
2003-01,0.770,
2003-04,0.754,
2003-07,0.842,
2003-10,0.734,
2004-01,0.758,
2004-04,0.675,
2004-07,0.700,
2004-10,0.592,
2005-01,0.622,
2005-04,0.610,
2005-07,0.649,
2005-10,0.554,
2006-01,0.589,
2006-04,0.603,
2006-07,0.671,
2006-10,0.640,
2007-01,0.530,
2007-04,0.559,
2007-07,0.617,
2007-10,0.614,
2008-01,0.628,
2008-04,0.732,
2008-07,0.864,
2008-10,0.759,
2009-01,0.722,
2009-04,0.685,
2009-07,0.681,
2009-10,0.631,
2010-01,0.678,
2010-04,0.613,
2010-07,0.742,
2010-10,0.679,
2011-01,0.650,
2011-04,0.713,
2011-07,0.789,
2011-10,0.738,
2012-01,0.735,
2012-04,0.724,
2012-07,0.728,
2012-10,0.747,
2013-01,0.864,
2013-04,0.706,
2013-07,0.890,
2013-10,0.818,
2014-01,0.732,
2014-04,0.957,
2014-07,0.865,
