"",BBK01.OEAH48K,BBK01.OEAH48K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:47,
2002-01,0.004,
2002-04,0.007,
2002-07,0.012,
2002-10,0.025,
2003-01,0.027,
2003-04,0.025,
2003-07,0.014,
2003-10,0.009,
2004-01,0.004,
2004-04,0.005,
2004-07,0.005,
2004-10,0.015,
2005-01,0.022,
2005-04,0.028,
2005-07,0.028,
2005-10,0.022,
2006-01,0.003,
2006-04,0.006,
2006-07,0.009,
2006-10,0.009,
2007-01,0.007,
2007-04,0.014,
2007-07,0.018,
2007-10,0.048,
2008-01,0.060,
2008-04,0.056,
2008-07,0.067,
2008-10,0.061,
2009-01,0.061,
2009-04,0.064,
2009-07,0.072,
2009-10,0.068,
2010-01,0.057,
2010-04,0.055,
2010-07,0.044,
2010-10,0.048,
2011-01,0.049,
2011-04,0.068,
2011-07,0.068,
2011-10,0.089,
2012-01,0.081,
2012-04,0.079,
2012-07,0.084,
2012-10,0.072,
2013-01,0.070,
2013-04,0.062,
2013-07,0.057,
2013-10,0.049,
2014-01,0.047,
2014-04,0.044,
2014-07,0.037,
