"",BBK01.OEHM03M,BBK01.OEHM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:38,
2002-01,0.461,
2002-04,0.458,
2002-07,0.420,
2002-10,0.471,
2003-01,0.434,
2003-04,0.378,
2003-07,0.320,
2003-10,0.314,
2004-01,0.283,
2004-04,0.276,
2004-07,0.281,
2004-10,0.303,
2005-01,0.306,
2005-04,0.269,
2005-07,0.265,
2005-10,0.290,
2006-01,0.250,
2006-04,0.261,
2006-07,0.296,
2006-10,0.301,
2007-01,0.347,
2007-04,0.393,
2007-07,0.470,
2007-10,0.495,
2008-01,0.463,
2008-04,0.445,
2008-07,0.456,
2008-10,0.433,
2009-01,0.399,
2009-04,0.300,
2009-07,0.251,
2009-10,0.211,
2010-01,0.180,
2010-04,0.167,
2010-07,0.192,
2010-10,0.246,
2011-01,0.335,
2011-04,0.360,
2011-07,0.363,
2011-10,0.271,
2012-01,0.294,
2012-04,0.332,
2012-07,0.285,
2012-10,0.236,
2013-01,0.234,
2013-04,0.221,
2013-07,0.168,
2013-10,0.192,
2014-01,0.133,
2014-04,0.115,
2014-07,0.120,
