"",BBK01.OEAC46Q,BBK01.OEAC46Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:30,
2002-01,32.924,
2002-04,33.180,
2002-07,32.748,
2002-10,33.559,
2003-01,33.530,
2003-04,36.614,
2003-07,36.690,
2003-10,37.389,
2004-01,37.525,
2004-04,31.767,
2004-07,31.414,
2004-10,32.340,
2005-01,32.006,
2005-04,31.889,
2005-07,31.630,
2005-10,31.744,
2006-01,32.501,
2006-04,33.947,
2006-07,33.662,
2006-10,34.658,
2007-01,36.729,
2007-04,35.521,
2007-07,34.111,
2007-10,33.842,
2008-01,30.056,
2008-04,29.510,
2008-07,29.935,
2008-10,30.033,
2009-01,29.742,
2009-04,29.864,
2009-07,31.458,
2009-10,35.531,
2010-01,35.991,
2010-04,36.601,
2010-07,34.147,
2010-10,34.131,
2011-01,34.018,
2011-04,33.682,
2011-07,29.958,
2011-10,30.335,
2012-01,30.250,
2012-04,31.361,
2012-07,31.553,
2012-10,35.268,
2013-01,34.953,
2013-04,33.847,
2013-07,33.613,
2013-10,38.137,
2014-01,37.725,
2014-04,37.748,
2014-07,38.131,
