"",BBK01.CELE01,BBK01.CELE01_FLAGS
"",short-term loans                                              debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:25,
1999-01,4.2,
1999-04,3.4,
1999-07,8.8,
1999-10,-1.8,
2000-01,-2.8,
2000-04,5.1,
2000-07,1.6,
2000-10,11.0,
2001-01,20.3,
2001-04,0.9,
2001-07,-1.1,
2001-10,7.6,
2002-01,12.3,
2002-04,-3.0,
2002-07,6.6,
2002-10,-4.5,
2003-01,5.3,
2003-04,-3.0,
2003-07,0.0,
2003-10,-5.7,
2004-01,2.5,
2004-04,-0.2,
2004-07,5.0,
2004-10,-5.8,
2005-01,8.1,
2005-04,10.8,
2005-07,3.3,
2005-10,0.6,
2006-01,5.5,
2006-04,5.5,
2006-07,0.3,
2006-10,2.1,
2007-01,2.8,
2007-04,1.0,
2007-07,3.9,
2007-10,10.4,
2008-01,1.7,
2008-04,10.9,
2008-07,6.8,
2008-10,-3.3,
2009-01,3.9,
2009-04,7.4,
2009-07,-13.7,
2009-10,-18.0,
2010-01,-1.1,
2010-04,12.4,
2010-07,-4.9,
2010-10,1.9,
2011-01,9.4,
2011-04,-3.3,
2011-07,10.2,
2011-10,1.8,
2012-01,4.7,
2012-04,12.6,
2012-07,-2.9,
2012-10,-0.6,
2013-01,7.4,
2013-04,-0.8,
2013-07,2.8,
2013-10,-2.3,
2014-01,12.2,
2014-04,3.9,
2014-07,16.0,
