"",BBK01.CELF5N,BBK01.CELF5N_FLAGS
"",long-term loans debtor: OFI  creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:41,
1999-01,1.3,
1999-04,2.8,
1999-07,1.1,
1999-10,1.5,
2000-01,5.3,
2000-04,1.9,
2000-07,-0.1,
2000-10,45.9,
2001-01,9.4,
2001-04,4.6,
2001-07,13.1,
2001-10,7.1,
2002-01,2.6,
2002-04,16.6,
2002-07,4.3,
2002-10,11.6,
2003-01,-4.8,
2003-04,3.8,
2003-07,6.0,
2003-10,-16.0,
2004-01,-24.8,
2004-04,4.8,
2004-07,-5.1,
2004-10,-12.2,
2005-01,3.7,
2005-04,3.0,
2005-07,-0.9,
2005-10,3.4,
2006-01,8.5,
2006-04,8.4,
2006-07,5.5,
2006-10,5.0,
2007-01,-3.2,
2007-04,-0.6,
2007-07,5.2,
2007-10,-7.4,
2008-01,9.9,
2008-04,3.2,
2008-07,5.8,
2008-10,14.6,
2009-01,6.0,
2009-04,1.1,
2009-07,1.2,
2009-10,0.3,
2010-01,13.9,
2010-04,8.3,
2010-07,0.2,
2010-10,10.5,
2011-01,-0.1,
2011-04,-3.6,
2011-07,1.6,
2011-10,-3.7,
2012-01,5.0,
2012-04,4.6,
2012-07,-2.5,
2012-10,-4.5,
2013-01,1.4,
2013-04,0.0,
2013-07,-1.8,
2013-10,3.2,
2014-01,0.3,
2014-04,1.5,
2014-07,0.3,
