"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:57,
1991-01,320.478,
1991-04,527.651,
1991-07,500.580,
1991-10,333.008,
1992-01,-367.085,
1992-04,-145.382,
1992-07,-256.221,
1992-10,-362.139,
1993-01,-160.619,
1993-04,8.415,
1993-07,49.500,
1993-10,-193.634,
1994-01,-63.330,
1994-04,46.713,
1994-07,183.956,
1994-10,-211.093,
1995-01,182.601,
1995-04,255.960,
1995-07,242.704,
1995-10,141.224,
1996-01,792.687,
1996-04,968.780,
1996-07,1115.410,
1996-10,967.037,
1997-01,542.787,
1997-04,694.411,
1997-07,704.085,
1997-10,621.388,
1998-01,324.403,
1998-04,944.968,
1998-07,1143.662,
1998-10,-508.020,
1999-01,97.477,
1999-04,334.232,
1999-07,591.499,
1999-10,643.792,
2000-01,-956.342,
2000-04,-1565.368,
2000-07,-1038.097,
2000-10,-1645.642,
2001-01,-7318.723,
2001-04,-4295.545,
2001-07,-2652.444,
2001-10,-5518.962,
2002-01,-2040.022,
2002-04,-3833.659,
2002-07,-1696.197,
2002-10,-5699.516,
2003-01,-693.461,
2003-04,-1495.955,
2003-07,-195.945,
2003-10,-1624.695,
2004-01,6234.497,
2004-04,2881.710,
2004-07,5334.210,
2004-10,4348.181,
2005-01,6404.753,
2005-04,3700.420,
2005-07,6139.478,
2005-10,4383.356,
2006-01,8221.520,
2006-04,5099.365,
2006-07,8688.980,
2006-10,6275.853,
2007-01,12496.488,
2007-04,8721.391,
2007-07,8555.630,
2007-10,1091.593,
2008-01,-1452.037,
2008-04,-8877.480,
2008-07,-4509.637,
2008-10,-6171.994,
2009-01,3739.205,
2009-04,1223.880,
2009-07,7466.454,
2009-10,3344.695,
2010-01,5568.849,
2010-04,2809.422,
2010-07,8487.420,
2010-10,3095.965,
2011-01,9978.243,
2011-04,7624.341,
2011-07,10029.453,
2011-10,3717.158,
2012-01,10904.645,
2012-04,5861.625,
2012-07,9805.798,
2012-10,5120.243,
2013-01,10153.229,
2013-04,5107.450,
2013-07,8667.533,
2013-10,6125.759,
2014-01,11348.915,Provisional value
2014-04,8451.672,Provisional value
2014-07,8090.925,Provisional value
2014-10,2407.291,Provisional value
