"",BBK01.OEAD16G,BBK01.OEAD16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:32,
2002-01,3.032,
2002-04,3.066,
2002-07,2.933,
2002-10,2.661,
2003-01,2.494,
2003-04,2.680,
2003-07,2.752,
2003-10,2.680,
2004-01,2.812,
2004-04,2.896,
2004-07,2.628,
2004-10,2.684,
2005-01,2.415,
2005-04,2.501,
2005-07,2.626,
2005-10,2.649,
2006-01,2.116,
2006-04,2.279,
2006-07,2.465,
2006-10,2.449,
2007-01,3.264,
2007-04,4.337,
2007-07,3.866,
2007-10,3.889,
2008-01,4.660,
2008-04,5.090,
2008-07,5.473,
2008-10,5.430,
2009-01,6.361,
2009-04,5.928,
2009-07,4.254,
2009-10,3.456,
2010-01,2.580,
2010-04,2.423,
2010-07,2.427,
2010-10,1.800,
2011-01,2.344,
2011-04,2.371,
2011-07,2.242,
2011-10,2.018,
2012-01,2.266,
2012-04,2.555,
2012-07,2.574,
2012-10,2.219,
2013-01,2.772,
2013-04,2.675,
2013-07,2.718,
2013-10,2.270,
2014-01,2.619,
2014-04,2.667,
2014-07,2.527,
