"",BBK01.CEB71Q,BBK01.CEB71Q_FLAGS
"",Other liabilities debtor: Non-financial corporations  (consolidated)                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:49,
1991-01,198.4,
1991-04,200.7,
1991-07,200.6,
1991-10,201.1,
1992-01,206.1,
1992-04,196.7,
1992-07,190.8,
1992-10,179.5,
1993-01,176.4,
1993-04,170.7,
1993-07,166.5,
1993-10,178.4,
1994-01,193.6,
1994-04,188.6,
1994-07,180.2,
1994-10,201.8,
1995-01,209.2,
1995-04,202.1,
1995-07,190.9,
1995-10,215.6,
1996-01,210.4,
1996-04,203.2,
1996-07,203.1,
1996-10,217.2,
1997-01,218.4,
1997-04,219.0,
1997-07,220.1,
1997-10,235.7,
1998-01,237.8,
1998-04,236.0,
1998-07,227.3,
1998-10,235.4,
1999-01,252.8,
1999-04,255.1,
1999-07,252.7,
1999-10,319.5,
2000-01,307.6,
2000-04,334.9,
2000-07,355.8,
2000-10,333.3,
2001-01,349.9,
2001-04,340.8,
2001-07,332.9,
2001-10,331.8,
2002-01,331.5,
2002-04,322.0,
2002-07,332.9,
2002-10,335.0,
2003-01,332.9,
2003-04,307.0,
2003-07,307.8,
2003-10,323.4,
2004-01,337.8,
2004-04,328.2,
2004-07,335.0,
2004-10,346.0,
2005-01,334.4,
2005-04,341.8,
2005-07,349.3,
2005-10,355.4,
2006-01,363.7,
2006-04,357.2,
2006-07,363.1,
2006-10,389.3,
2007-01,402.3,
2007-04,413.5,
2007-07,429.7,
2007-10,438.2,
2008-01,447.6,
2008-04,458.7,
2008-07,468.3,
2008-10,483.8,
2009-01,545.7,
2009-04,463.3,
2009-07,473.2,
2009-10,467.0,
2010-01,466.7,
2010-04,480.9,
2010-07,443.9,
2010-10,423.9,
2011-01,411.2,
2011-04,417.0,
2011-07,398.9,
2011-10,403.3,
2012-01,409.6,
2012-04,424.2,
2012-07,423.4,
2012-10,406.6,
2013-01,424.0,
2013-04,400.2,
2013-07,403.9,
2013-10,416.0,
2014-01,406.6,
