"",BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F2.T.X1.N.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F2.T.X1.N.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Currency and deposits / Rest of the World / Central bank / Reserve Assets,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:26,
1991-01,336.114,
1991-02,-1170.059,
1991-03,-3975.624,
1991-04,-202.698,
1991-05,524.647,
1991-06,-1609.211,
1991-07,-105.061,
1991-08,536.518,
1991-09,12.827,
1991-10,257.039,
1991-11,513.350,
1991-12,-435.979,
1992-01,422.699,
1992-02,845.149,
1992-03,290.596,
1992-04,526.095,
1992-05,-1110.840,
1992-06,383.303,
1992-07,234.219,
1992-08,2056.578,
1992-09,39594.913,
1992-10,-19965.815,
1992-11,-697.518,
1992-12,4614.998,
1993-01,-5733.782,
1993-02,-5840.904,
1993-03,-6862.264,
1993-04,-1153.891,
1993-05,784.464,
1993-06,-978.384,
1993-07,6144.995,
1993-08,23631.154,
1993-09,-16756.087,
1993-10,-5598.070,
1993-11,1316.005,
1993-12,-473.596,
1994-01,658.385,
1994-02,39.488,
1994-03,39.927,
1994-04,429.872,
1994-05,27.228,
1994-06,38.506,
1994-07,338.971,
1994-08,45.194,
1994-09,-497.727,
1994-10,381.582,
1994-11,-960.567,
1994-12,-294.425,
1995-01,-101.039,
1995-02,446.090,
1995-03,1440.496,
1995-04,894.200,
1995-05,-466.412,
1995-06,445.901,
1995-07,-308.337,
1995-08,1175.098,
1995-09,400.482,
1995-10,-1726.034,
1995-11,591.306,
1995-12,263.361,
1996-01,-187.927,
1996-02,-1880.108,
1996-03,-333.813,
1996-04,-237.108,
1996-05,-3477.453,
1996-06,-867.918,
1996-07,-2146.431,
1996-08,1211.885,
1996-09,843.599,
1996-10,-300.737,
1996-11,311.558,
1996-12,222.618,
1997-01,283.280,
1997-02,409.867,
1997-03,587.459,
1997-04,506.141,
1997-05,1615.776,
1997-06,-1381.981,
1997-07,-1183.842,
1997-08,419.113,
1997-09,713.506,
1997-10,290.623,
1997-11,-232.615,
1997-12,-180.758,
1998-01,211.366,
1998-02,-1476.165,
1998-03,-1026.906,
1998-04,526.659,
1998-05,2586.360,
1998-06,-123.276,
1998-07,-319.166,
