"",BBK01.OECB23L,BBK01.OECB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:33,
2002-01,0.058,
2002-04,0.029,
2002-07,0.099,
2002-10,0.075,
2003-01,0.097,
2003-04,0.092,
2003-07,0.029,
2003-10,0.368,
2004-01,0.030,
2004-04,0.035,
2004-07,0.033,
2004-10,0.096,
2005-01,0.031,
2005-04,0.065,
2005-07,0.329,
2005-10,0.174,
2006-01,0.075,
2006-04,0.028,
2006-07,0.068,
2006-10,0.142,
2007-01,0.211,
2007-04,0.178,
2007-07,0.286,
2007-10,0.241,
2008-01,0.992,
2008-04,0.911,
2008-07,0.905,
2008-10,1.061,
2009-01,1.094,
2009-04,1.002,
2009-07,1.163,
2009-10,1.097,
2010-01,0.862,
2010-04,0.810,
2010-07,1.008,
2010-10,1.062,
2011-01,0.858,
2011-04,1.074,
2011-07,1.272,
2011-10,1.159,
2012-01,1.122,
2012-04,1.074,
2012-07,1.336,
2012-10,2.368,
2013-01,2.448,
2013-04,2.626,
2013-07,2.428,
2013-10,1.483,
2014-01,1.560,
2014-04,1.721,
2014-07,1.578,
