"",BBFB1.Q.N.DE.I7.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:44,
1991-01,3890.032,
1991-04,4287.403,
1991-07,4658.783,
1991-10,4601.203,
1992-01,4246.623,
1992-04,4602.908,
1992-07,4880.509,
1992-10,5105.365,
1993-01,4349.140,
1993-04,4720.099,
1993-07,4909.450,
1993-10,5016.354,
1994-01,4775.164,
1994-04,4671.105,
1994-07,5082.154,
1994-10,4897.830,
1995-01,5215.890,
1995-04,5208.121,
1995-07,5757.252,
1995-10,5828.184,
1996-01,5287.634,
1996-04,5409.914,
1996-07,5947.226,
1996-10,5868.878,
1997-01,5776.933,
1997-04,5930.534,
1997-07,6570.793,
1997-10,6637.108,
1998-01,6436.036,
1998-04,6783.400,
1998-07,7164.571,
1998-10,7074.789,
1999-01,6281.809,
1999-04,7186.788,
1999-07,7484.238,
1999-10,7870.518,
2000-01,7444.374,
2000-04,8045.253,
2000-07,7965.818,
2000-10,8705.743,
2001-01,7582.411,
2001-04,8328.014,
2001-07,8648.927,
2001-10,9368.355,
2002-01,8445.627,
2002-04,8912.244,
2002-07,9516.602,
2002-10,10415.130,
2003-01,8339.394,
2003-04,9104.370,
2003-07,9220.603,
2003-10,9887.482,
2004-01,9563.773,
2004-04,10185.138,
2004-07,10574.412,
2004-10,11458.638,
2005-01,9839.416,
2005-04,10732.454,
2005-07,11332.419,
2005-10,12496.198,
2006-01,11252.562,
2006-04,12634.519,
2006-07,12833.115,
2006-10,14300.035,
2007-01,11951.994,
2007-04,12422.807,
2007-07,13129.261,
2007-10,13973.046,
2008-01,12546.920,
2008-04,13563.157,
2008-07,14205.792,
2008-10,14972.951,
2009-01,12256.882,
2009-04,12994.208,
2009-07,13522.547,
2009-10,14625.577,
2010-01,12389.187,
2010-04,13398.613,
2010-07,14254.120,
2010-10,15065.509,
2011-01,13401.006,
2011-04,13836.141,
2011-07,14826.525,
2011-10,15687.255,
2012-01,13864.043,
2012-04,14321.103,
2012-07,14873.245,
2012-10,15603.519,
2013-01,13693.801,
2013-04,14429.583,
2013-07,15553.613,
2013-10,16894.409,
2014-01,14549.988,Provisional value
2014-04,15253.488,Provisional value
2014-07,16398.974,Provisional value
