"",BBK01.OELB23G,BBK01.OELB23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:20,
2002-01,0.142,
2002-04,0.134,
2002-07,0.129,
2002-10,0.117,
2003-01,0.115,
2003-04,0.107,
2003-07,0.090,
2003-10,0.114,
2004-01,0.134,
2004-04,0.135,
2004-07,0.136,
2004-10,0.125,
2005-01,0.119,
2005-04,0.092,
2005-07,0.100,
2005-10,0.131,
2006-01,0.125,
2006-04,0.153,
2006-07,0.149,
2006-10,0.183,
2007-01,0.179,
2007-04,0.208,
2007-07,0.219,
2007-10,0.248,
2008-01,0.210,
2008-04,0.187,
2008-07,0.212,
2008-10,0.233,
2009-01,0.243,
2009-04,0.226,
2009-07,0.226,
2009-10,0.232,
2010-01,0.182,
2010-04,0.207,
2010-07,0.202,
2010-10,0.198,
2011-01,0.208,
2011-04,0.197,
2011-07,0.193,
2011-10,0.158,
2012-01,0.139,
2012-04,0.132,
2012-07,0.133,
2012-10,0.123,
2013-01,0.099,
2013-04,0.101,
2013-07,0.105,
2013-10,0.092,
2014-01,0.078,
2014-04,0.080,
2014-07,0.091,
