"",BBK01.OEXB21S,BBK01.OEXB21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:08,
2002-01,0.709,
2002-04,0.708,
2002-07,0.717,
2002-10,0.726,
2003-01,0.731,
2003-04,0.740,
2003-07,0.742,
2003-10,0.774,
2004-01,0.783,
2004-04,0.784,
2004-07,0.787,
2004-10,0.822,
2005-01,0.820,
2005-04,0.835,
2005-07,0.830,
2005-10,0.827,
2006-01,0.834,
2006-04,0.836,
2006-07,0.825,
2006-10,0.810,
2007-01,0.808,
2007-04,0.789,
2007-07,0.775,
2007-10,0.716,
2008-01,0.687,
2008-04,0.668,
2008-07,0.651,
2008-10,0.637,
2009-01,0.625,
2009-04,0.629,
2009-07,0.645,
2009-10,0.652,
2010-01,0.652,
2010-04,0.646,
2010-07,0.658,
2010-10,0.658,
2011-01,0.665,
2011-04,0.695,
2011-07,0.697,
2011-10,0.704,
2012-01,0.703,
2012-04,0.699,
2012-07,0.728,
2012-10,0.728,
2013-01,0.728,
2013-04,0.742,
2013-07,0.738,
2013-10,0.767,
2014-01,0.752,
2014-04,0.798,
2014-07,0.777,
