"",BBK01.OEAO02I,BBK01.OEAO02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:59,
2002-01,2.005,
2002-04,1.695,
2002-07,1.533,
2002-10,1.613,
2003-01,1.777,
2003-04,1.461,
2003-07,1.595,
2003-10,1.474,
2004-01,1.805,
2004-04,1.330,
2004-07,1.541,
2004-10,1.438,
2005-01,1.896,
2005-04,1.729,
2005-07,1.730,
2005-10,1.597,
2006-01,2.004,
2006-04,1.960,
2006-07,1.683,
2006-10,1.979,
2007-01,3.105,
2007-04,2.299,
2007-07,2.330,
2007-10,2.335,
2008-01,2.500,
2008-04,2.479,
2008-07,2.262,
2008-10,3.596,
2009-01,2.502,
2009-04,2.058,
2009-07,2.371,
2009-10,2.642,
2010-01,2.149,
2010-04,1.573,
2010-07,2.090,
2010-10,1.962,
2011-01,2.209,
2011-04,1.686,
2011-07,1.588,
2011-10,1.523,
2012-01,1.906,
2012-04,1.254,
2012-07,2.414,
2012-10,1.382,
2013-01,1.532,
2013-04,1.187,
2013-07,1.108,
2013-10,1.096,
2014-01,1.028,
2014-04,0.985,
2014-07,1.387,
