"",BBSF2.M.1.P.00000.DAC01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.DAC01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Funds-of-funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:24,
2009-09,714,
2009-10,669,
2009-11,564,
2009-12,680,
2010-01,835,
2010-02,763,
2010-03,686,
2010-04,748,
2010-05,805,
2010-06,887,
2010-07,940,
2010-08,1011,
2010-09,707,
2010-10,632,
2010-11,777,
2010-12,616,
2011-01,785,
2011-02,852,
2011-03,830,
2011-04,738,
2011-05,830,
2011-06,765,
2011-07,908,
2011-08,1261,
2011-09,1560,
2011-10,1073,
2011-11,1232,
2011-12,1022,
2012-01,826,
2012-02,851,
2012-03,879,
2012-04,943,
2012-05,986,
2012-06,798,
2012-07,622,
2012-08,558,
2012-09,569,
2012-10,545,
2012-11,625,
2012-12,530,
2013-01,681,
2013-02,447,
2013-03,405,
2013-04,415,
2013-05,558,
2013-06,1066,
2013-07,640,
2013-08,732,
2013-09,394,
2013-10,410,
2013-11,447,
2013-12,429,
2014-01,564,
2014-02,492,
2014-03,630,
2014-04,553,
2014-05,580,
2014-06,679,
2014-07,685,
2014-08,778,
2014-09,663,
2014-10,657,
2014-11,513,
