"",BBK01.OELI03O,BBK01.OELI03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:40,
2002-01,5.140,
2002-04,5.098,
2002-07,5.130,
2002-10,5.116,
2003-01,5.091,
2003-04,4.982,
2003-07,4.953,
2003-10,4.966,
2004-01,4.874,
2004-04,4.704,
2004-07,4.680,
2004-10,4.760,
2005-01,4.773,
2005-04,4.692,
2005-07,4.648,
2005-10,4.816,
2006-01,4.830,
2006-04,4.799,
2006-07,5.010,
2006-10,5.249,
2007-01,5.471,
2007-04,5.904,
2007-07,6.099,
2007-10,6.584,
2008-01,6.710,
2008-04,7.098,
2008-07,7.845,
2008-10,8.781,
2009-01,8.090,
2009-04,7.498,
2009-07,6.570,
2009-10,5.908,
2010-01,5.150,
2010-04,4.857,
2010-07,4.777,
2010-10,4.830,
2011-01,4.760,
2011-04,4.861,
2011-07,4.929,
2011-10,4.845,
2012-01,4.676,
2012-04,4.573,
2012-07,4.365,
2012-10,4.097,
2013-01,3.758,
2013-04,3.568,
2013-07,3.523,
2013-10,3.402,
2014-01,3.578,
2014-04,3.643,
2014-07,3.679,
