"",BBK01.OEAD10O,BBK01.OEAD10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:43,
2002-01,1.160,
2002-04,1.111,
2002-07,1.108,
2002-10,1.083,
2003-01,1.049,
2003-04,1.036,
2003-07,0.996,
2003-10,1.035,
2004-01,1.024,
2004-04,1.034,
2004-07,1.059,
2004-10,1.016,
2005-01,0.981,
2005-04,0.958,
2005-07,0.947,
2005-10,0.922,
2006-01,0.936,
2006-04,0.914,
2006-07,0.908,
2006-10,0.919,
2007-01,0.895,
2007-04,1.040,
2007-07,0.961,
2007-10,1.036,
2008-01,0.982,
2008-04,1.021,
2008-07,0.966,
2008-10,1.173,
2009-01,1.155,
2009-04,0.986,
2009-07,0.959,
2009-10,0.944,
2010-01,1.061,
2010-04,1.058,
2010-07,1.129,
2010-10,1.139,
2011-01,1.074,
2011-04,1.091,
2011-07,1.070,
2011-10,1.085,
2012-01,1.051,
2012-04,1.072,
2012-07,1.073,
2012-10,1.067,
2013-01,1.050,
2013-04,0.950,
2013-07,1.071,
2013-10,1.126,
2014-01,1.095,
2014-04,1.084,
2014-07,1.068,
