"",BBK01.OELB17M,BBK01.OELB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:12,
2002-01,13.876,
2002-04,14.063,
2002-07,14.236,
2002-10,14.361,
2003-01,14.332,
2003-04,14.507,
2003-07,14.755,
2003-10,14.987,
2004-01,14.961,
2004-04,15.113,
2004-07,15.295,
2004-10,15.485,
2005-01,15.452,
2005-04,15.618,
2005-07,15.918,
2005-10,16.115,
2006-01,16.124,
2006-04,16.317,
2006-07,16.479,
2006-10,16.569,
2007-01,16.472,
2007-04,16.494,
2007-07,16.615,
2007-10,16.665,
2008-01,16.599,
2008-04,16.705,
2008-07,16.820,
2008-10,16.813,
2009-01,16.881,
2009-04,17.023,
2009-07,17.194,
2009-10,17.298,
2010-01,17.351,
2010-04,17.560,
2010-07,17.769,
2010-10,17.941,
2011-01,18.088,
2011-04,18.336,
2011-07,18.795,
2011-10,18.957,
2012-01,19.067,
2012-04,19.528,
2012-07,19.783,
2012-10,19.944,
2013-01,20.028,
2013-04,20.239,
2013-07,20.506,
2013-10,20.685,
2014-01,20.779,
2014-04,21.016,
2014-07,21.303,
