"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F.S._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Short-term debt-securities / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:55,
1991-01,247.303,
1991-02,215.460,
1991-03,342.369,
1991-04,348.967,
1991-05,454.567,
1991-06,249.673,
1991-07,459.021,
1991-08,257.996,
1991-09,204.514,
1991-10,329.417,
1991-11,315.106,
1991-12,447.645,
1992-01,665.037,
1992-02,264.081,
1992-03,414.902,
1992-04,486.863,
1992-05,50.884,
1992-06,360.168,
1992-07,795.614,
1992-08,293.265,
1992-09,599.983,
1992-10,603.955,
1992-11,315.941,
1992-12,1076.435,
1993-01,577.442,
1993-02,1196.547,
1993-03,1315.913,
1993-04,948.295,
1993-05,588.721,
1993-06,1386.380,
1993-07,847.474,
1993-08,573.431,
1993-09,318.831,
1993-10,769.682,
1993-11,896.107,
1993-12,939.986,
1994-01,1174.509,
1994-02,1311.955,
1994-03,1251.487,
1994-04,697.295,
1994-05,675.978,
1994-06,987.422,
1994-07,745.966,
1994-08,939.309,
1994-09,753.728,
1994-10,980.123,
1994-11,554.332,
1994-12,1018.134,
1995-01,2503.057,
1995-02,1225.964,
1995-03,1069.190,
1995-04,962.381,
1995-05,1229.745,
1995-06,1461.194,
1995-07,2430.700,
1995-08,1228.571,
1995-09,2645.721,
1995-10,1651.911,
1995-11,1380.759,
1995-12,1814.210,
1996-01,1918.807,
1996-02,1715.360,
1996-03,2978.051,
1996-04,1960.050,
1996-05,1810.022,
1996-06,2010.424,
1996-07,3002.485,
1996-08,3216.820,
1996-09,2915.826,
1996-10,2530.834,
1996-11,2536.889,
1996-12,2074.012,
1997-01,2877.437,
1997-02,2098.814,
1997-03,2380.445,
1997-04,2838.885,
1997-05,2186.582,
1997-06,2403.807,
1997-07,3169.041,
1997-08,2823.254,
1997-09,3371.579,
1997-10,4606.378,
1997-11,3781.881,
1997-12,3299.254,
1998-01,8430.375,
1998-02,7420.192,
1998-03,8008.180,
1998-04,8435.858,
1998-05,7880.354,
1998-06,8331.790,
1998-07,7897.244,
1998-08,8446.460,
1998-09,9397.842,
1998-10,7575.985,
1998-11,9416.288,
1998-12,21695.437,
1999-01,7442.220,
1999-02,8186.956,
1999-03,6803.204,
1999-04,9841.242,
1999-05,7396.695,
1999-06,10951.202,
1999-07,10412.534,
1999-08,9025.164,
1999-09,10080.013,
1999-10,7926.584,
1999-11,21881.171,
1999-12,18688.995,
2000-01,12275.792,
2000-02,9257.807,
2000-03,11399.869,
2000-04,10204.576,
2000-05,11508.934,
2000-06,10440.840,
2000-07,9510.530,
2000-08,10888.332,
2000-09,13207.788,
2000-10,10677.869,
2000-11,9932.757,
2000-12,7950.974,
2001-01,11456.614,
2001-02,10257.747,
2001-03,12382.817,
2001-04,9363.665,
2001-05,12488.888,
2001-06,14912.670,
2001-07,13570.363,
2001-08,17168.018,
2001-09,12769.427,
2001-10,15163.968,
2001-11,29750.141,
2001-12,24085.889,
2002-01,16647.736,
2002-02,17439.736,
2002-03,15743.116,
2002-04,17321.204,
2002-05,17247.578,
2002-06,16633.226,
2002-07,18499.027,
2002-08,15418.164,
2002-09,19723.423,
2002-10,19662.540,
2002-11,19108.566,
2002-12,15914.264,
2003-01,21253.056,
2003-02,17537.918,
2003-03,23783.670,
2003-04,20549.400,
2003-05,26248.955,
2003-06,21692.121,
2003-07,26222.139,
2003-08,26364.167,
2003-09,28200.438,
2003-10,28001.180,
2003-11,26845.301,
2003-12,15999.783,
2004-01,26716.533,
2004-02,25377.514,
2004-03,24602.058,
2004-04,22282.298,
2004-05,23309.404,
2004-06,20919.413,
2004-07,20041.872,
2004-08,19536.342,
2004-09,24135.775,
2004-10,25435.178,
2004-11,29208.447,
2004-12,28495.442,
2005-01,25502.061,
2005-02,25206.906,
2005-03,26856.686,
2005-04,23107.540,
2005-05,22169.733,
2005-06,24685.706,
2005-07,22104.320,
2005-08,24021.159,
2005-09,24971.304,
2005-10,24673.484,
2005-11,27821.447,
2005-12,22964.861,
2006-01,32231.631,
2006-02,26560.730,
2006-03,27085.655,
2006-04,24301.747,
2006-05,27300.229,
2006-06,29776.465,
2006-07,28974.549,
2006-08,32988.421,
2006-09,33206.537,
2006-10,27836.707,
2006-11,28587.849,
2006-12,28064.685,
2007-01,26407.452,
2007-02,28248.972,
2007-03,32406.420,
2007-04,29926.010,
2007-05,29453.518,
2007-06,30922.431,
2007-07,32269.203,
2007-08,29584.386,
2007-09,32363.967,
