"",BBK01.OEAI03V,BBK01.OEAI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:22,
2002-01,15.764,
2002-04,14.203,
2002-07,14.149,
2002-10,17.257,
2003-01,13.125,
2003-04,13.019,
2003-07,13.557,
2003-10,13.181,
2004-01,12.605,
2004-04,12.743,
2004-07,12.648,
2004-10,13.551,
2005-01,12.807,
2005-04,13.261,
2005-07,13.115,
2005-10,13.213,
2006-01,13.036,
2006-04,13.332,
2006-07,13.571,
2006-10,13.955,
2007-01,14.399,
2007-04,14.550,
2007-07,14.538,
2007-10,15.788,
2008-01,15.850,
2008-04,10.887,
2008-07,11.431,
2008-10,11.628,
2009-01,9.560,
2009-04,7.225,
2009-07,6.228,
2009-10,7.852,
2010-01,7.645,
2010-04,7.477,
2010-07,6.672,
2010-10,6.637,
2011-01,6.848,
2011-04,6.791,
2011-07,8.242,
2011-10,8.756,
2012-01,8.786,
2012-04,9.902,
2012-07,9.693,
2012-10,9.216,
2013-01,9.355,
2013-04,8.733,
2013-07,9.138,
2013-10,9.248,
2014-01,8.920,
2014-04,9.405,
2014-07,9.231,
