"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:22,
1991-01,-27.363,
1991-04,-27.098,
1991-07,-27.333,
1991-10,-30.634,
1992-01,9.230,
1992-04,10.182,
1992-07,9.543,
1992-10,10.223,
1993-01,13.660,
1993-04,13.763,
1993-07,13.763,
1993-10,12.906,
1994-01,32.534,
1994-04,32.119,
1994-07,30.657,
1994-10,-8.069,
1995-01,-65.050,
1995-04,-64.889,
1995-07,-65.746,
1995-10,-64.889,
1996-01,75.761,
1996-04,75.761,
1996-07,75.758,
1996-10,75.761,
1997-01,35.534,
1997-04,35.534,
1997-07,35.534,
1997-10,24.010,
1998-01,-12.781,
1998-04,-12.781,
1998-07,-12.781,
1998-10,-26.189,
1999-01,-30.535,
1999-04,-28.070,
1999-07,-29.188,
1999-10,-30.225,
2000-01,-6.000,
2000-04,-6.000,
2000-07,-3.000,
2000-10,-165.013,
2001-01,-237.787,
2001-04,-244.599,
2001-07,-262.153,
2001-10,-142.570,
2002-01,-83.881,
2002-04,-89.827,
2002-07,-101.926,
2002-10,-123.844,
2003-01,2.561,
2003-04,4.278,
2003-07,4.687,
2003-10,4.483,
2004-01,38.453,
2004-04,6.619,
2004-07,23.576,
2004-10,24.166,
2005-01,46.394,
2005-04,34.000,
2005-07,30.215,
2005-10,-34.856,
2006-01,38.039,
2006-04,45.724,
2006-07,24.398,
2006-10,4.701,
2007-01,103.991,
2007-04,80.669,
2007-07,52.128,
2007-10,-14.735,
2008-01,51.482,
2008-04,21.520,
2008-07,-20.052,
2008-10,2.804,
2009-01,31.445,
2009-04,18.463,
2009-07,32.386,
2009-10,9.968,
2010-01,39.768,
2010-04,-32.868,
2010-07,-4.817,
2010-10,-11.664,
2011-01,36.019,
2011-04,31.120,
2011-07,25.045,
2011-10,39.850,
2012-01,74.397,
2012-04,65.095,
2012-07,68.893,
2012-10,73.794,
2013-01,52.623,
2013-04,51.623,
2013-07,45.620,
2013-10,52.811,
2014-01,50.623,Provisional value
2014-04,50.606,Provisional value
2014-07,32.802,Provisional value
2014-10,52.562,Provisional value
