"",BBK01.OECJ04O,BBK01.OECJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:32,
2002-01,0.358,
2002-04,0.425,
2002-07,0.412,
2002-10,0.397,
2003-01,0.344,
2003-04,0.313,
2003-07,0.349,
2003-10,0.313,
2004-01,0.266,
2004-04,0.239,
2004-07,0.347,
2004-10,0.553,
2005-01,0.368,
2005-04,0.381,
2005-07,0.412,
2005-10,0.383,
2006-01,0.323,
2006-04,0.334,
2006-07,0.398,
2006-10,0.423,
2007-01,0.321,
2007-04,0.355,
2007-07,0.467,
2007-10,0.585,
2008-01,0.535,
2008-04,0.536,
2008-07,0.732,
2008-10,0.748,
2009-01,0.734,
2009-04,0.731,
2009-07,0.907,
2009-10,0.948,
2010-01,1.048,
2010-04,0.906,
2010-07,0.640,
2010-10,0.605,
2011-01,0.765,
2011-04,0.926,
2011-07,0.778,
2011-10,0.648,
2012-01,0.623,
2012-04,0.568,
2012-07,0.717,
2012-10,0.651,
2013-01,0.425,
2013-04,0.498,
2013-07,0.473,
2013-10,0.686,
2014-01,0.514,
2014-04,0.354,
2014-07,0.327,
