"",BBK01.OEHJ08K,BBK01.OEHJ08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:58,
2002-01,0.030,
2002-04,0.031,
2002-07,0.019,
2002-10,0.019,
2003-01,0.023,
2003-04,0.023,
2003-07,0.023,
2003-10,0.023,
2004-01,0.023,
2004-04,0.023,
2004-07,0.021,
2004-10,0.021,
2005-01,0.018,
2005-04,0.013,
2005-07,0.010,
2005-10,0.010,
2006-01,0.010,
2006-04,0.011,
2006-07,0.011,
2006-10,0.011,
2007-01,0.011,
2007-04,0.011,
2007-07,0.012,
2007-10,0.012,
2008-01,0.013,
2008-04,0.013,
2008-07,0.014,
2008-10,0.015,
2009-01,0.017,
2009-04,0.017,
2009-07,0.018,
2009-10,0.018,
2010-01,0.019,
2010-04,0.019,
2010-07,0.020,
2010-10,0.020,
2011-01,0.021,
2011-04,0.021,
2011-07,0.018,
2011-10,0.016,
2012-01,0.017,
2012-04,0.029,
2012-07,0.056,
2012-10,0.046,
2013-01,0.052,
2013-04,0.052,
2013-07,0.055,
2013-10,0.059,
2014-01,0.052,
2014-04,0.052,
2014-07,0.050,
