"",BBK01.OEXJ04U,BBK01.OEXJ04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:46,
2002-01,0.225,
2002-04,0.181,
2002-07,0.207,
2002-10,0.231,
2003-01,0.163,
2003-04,0.170,
2003-07,0.214,
2003-10,0.206,
2004-01,0.176,
2004-04,0.099,
2004-07,0.099,
2004-10,0.104,
2005-01,0.077,
2005-04,0.088,
2005-07,0.083,
2005-10,0.090,
2006-01,0.113,
2006-04,0.107,
2006-07,0.142,
2006-10,0.169,
2007-01,0.235,
2007-04,0.282,
2007-07,0.331,
2007-10,0.357,
2008-01,0.381,
2008-04,0.415,
2008-07,0.419,
2008-10,0.339,
2009-01,0.132,
2009-04,0.099,
2009-07,0.093,
2009-10,0.076,
2010-01,0.072,
2010-04,0.075,
2010-07,0.076,
2010-10,0.087,
2011-01,0.114,
2011-04,0.124,
2011-07,0.157,
2011-10,0.396,
2012-01,0.453,
2012-04,0.503,
2012-07,0.555,
2012-10,0.566,
2013-01,0.559,
2013-04,0.557,
2013-07,0.555,
2013-10,0.498,
2014-01,0.684,
2014-04,0.663,
2014-07,0.443,
