"",BBK01.CELN30,BBK01.CELN30_FLAGS
"",Transferable deposits                                                     debtor: MFI  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:30,
1999-01,57.8,
1999-04,15.4,
1999-07,-9.8,
1999-10,-26.7,
2000-01,84.1,
2000-04,-1.7,
2000-07,-23.1,
2000-10,28.8,
2001-01,59.7,
2001-04,7.4,
2001-07,25.9,
2001-10,-14.4,
2002-01,7.3,
2002-04,58.0,
2002-07,14.6,
2002-10,3.2,
2003-01,68.7,
2003-04,44.8,
2003-07,-27.1,
2003-10,-33.9,
2004-01,97.1,
2004-04,-0.1,
2004-07,13.6,
2004-10,-70.1,
2005-01,128.7,
2005-04,34.9,
2005-07,-9.5,
2005-10,-28.7,
2006-01,51.6,
2006-04,57.8,
2006-07,-2.7,
2006-10,29.2,
2007-01,52.5,
2007-04,49.4,
2007-07,17.8,
2007-10,-9.3,
2008-01,93.4,
2008-04,-14.3,
2008-07,99.7,
2008-10,59.4,
2009-01,79.3,
2009-04,112.1,
2009-07,-55.1,
2009-10,10.4,
2010-01,123.4,
2010-04,193.7,
2010-07,-128.9,
2010-10,-20.3,
2011-01,-8.0,
2011-04,6.1,
2011-07,203.0,
2011-10,-16.3,
2012-01,364.0,
2012-04,132.9,
2012-07,4.5,
2012-10,-97.0,
2013-01,-107.2,
2013-04,3.0,
2013-07,5.8,
2013-10,-76.1,
2014-01,26.0,
2014-04,50.9,
2014-07,30.8,
