"",BBK01.OEAH35J,BBK01.OEAH35J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:07,
2002-01,5.637,
2002-04,5.699,
2002-07,5.759,
2002-10,5.922,
2003-01,5.731,
2003-04,5.808,
2003-07,5.894,
2003-10,6.127,
2004-01,6.344,
2004-04,6.608,
2004-07,7.008,
2004-10,7.359,
2005-01,7.844,
2005-04,7.889,
2005-07,8.022,
2005-10,8.703,
2006-01,8.825,
2006-04,9.207,
2006-07,9.557,
2006-10,9.699,
2007-01,10.170,
2007-04,10.193,
2007-07,10.415,
2007-10,10.642,
2008-01,10.904,
2008-04,11.008,
2008-07,10.910,
2008-10,11.018,
2009-01,11.225,
2009-04,11.349,
2009-07,11.266,
2009-10,11.386,
2010-01,11.406,
2010-04,11.222,
2010-07,11.025,
2010-10,10.973,
2011-01,10.943,
2011-04,10.914,
2011-07,10.768,
2011-10,10.531,
2012-01,10.415,
2012-04,10.243,
2012-07,9.948,
2012-10,9.646,
2013-01,9.460,
2013-04,7.996,
2013-07,7.067,
2013-10,6.899,
2014-01,5.192,
2014-04,4.993,
2014-07,4.928,
