"",BBK01.OEAD08T,BBK01.OEAD08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:08,
2002-01,0.208,
2002-04,0.218,
2002-07,0.205,
2002-10,0.223,
2003-01,0.225,
2003-04,0.228,
2003-07,0.261,
2003-10,0.277,
2004-01,0.295,
2004-04,0.316,
2004-07,0.301,
2004-10,0.335,
2005-01,0.344,
2005-04,0.342,
2005-07,0.327,
2005-10,0.327,
2006-01,0.341,
2006-04,0.337,
2006-07,0.348,
2006-10,0.320,
2007-01,0.327,
2007-04,0.171,
2007-07,0.174,
2007-10,0.170,
2008-01,0.172,
2008-04,0.166,
2008-07,0.165,
2008-10,0.162,
2009-01,0.141,
2009-04,0.136,
2009-07,0.137,
2009-10,0.133,
2010-01,0.190,
2010-04,0.178,
2010-07,0.175,
2010-10,0.168,
2011-01,0.174,
2011-04,0.168,
2011-07,0.166,
2011-10,0.166,
2012-01,0.179,
2012-04,0.172,
2012-07,0.176,
2012-10,0.174,
2013-01,0.175,
2013-04,0.134,
2013-07,0.146,
2013-10,0.141,
2014-01,0.139,
2014-04,0.138,
2014-07,0.143,
