"",BBFB1.Q.N.DE.GR.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:29,
1991-01,387.265,
1991-04,368.458,
1991-07,272.183,
1991-10,443.433,
1992-01,656.224,
1992-04,505.544,
1992-07,475.366,
1992-10,599.938,
1993-01,438.211,
1993-04,346.440,
1993-07,348.885,
1993-10,571.593,
1994-01,477.549,
1994-04,373.722,
1994-07,276.808,
1994-10,316.852,
1995-01,340.522,
1995-04,368.630,
1995-07,293.264,
1995-10,354.768,
1996-01,327.979,
1996-04,303.541,
1996-07,360.170,
1996-10,417.725,
1997-01,398.204,
1997-04,388.165,
1997-07,384.948,
1997-10,539.544,
1998-01,450.527,
1998-04,516.306,
1998-07,464.241,
1998-10,638.046,
1999-01,533.773,
1999-04,557.681,
1999-07,648.954,
1999-10,782.476,
2000-01,835.657,
2000-04,769.589,
2000-07,784.913,
2000-10,867.534,
2001-01,870.019,
2001-04,955.712,
2001-07,927.254,
2001-10,894.317,
2002-01,954.126,
2002-04,789.932,
2002-07,887.940,
2002-10,941.258,
2003-01,893.420,
2003-04,885.980,
2003-07,1155.411,
2003-10,1187.185,
2004-01,1306.534,
2004-04,1203.813,
2004-07,1188.046,
2004-10,1146.860,
2005-01,1177.758,
2005-04,1269.381,
2005-07,1202.112,
2005-10,1265.595,
2006-01,1397.033,
2006-04,1380.521,
2006-07,1316.052,
2006-10,1483.079,
2007-01,1647.841,
2007-04,1543.906,
2007-07,1425.895,
2007-10,1580.177,
2008-01,1522.540,
2008-04,1618.274,
2008-07,1518.459,
2008-10,1585.582,
2009-01,1256.387,
2009-04,1239.876,
2009-07,1355.015,
2009-10,1320.457,
2010-01,1111.468,
2010-04,904.821,
2010-07,948.827,
2010-10,1310.928,
2011-01,885.199,
2011-04,865.801,
2011-07,878.267,
2011-10,692.464,
2012-01,800.254,
2012-04,741.774,
2012-07,726.875,
2012-10,717.525,
2013-01,730.342,
2013-04,750.359,
2013-07,758.003,
2013-10,724.653,
2014-01,853.822,Provisional value
2014-04,820.759,Provisional value
2014-07,797.411,Provisional value
