"",BBFB1.Q.N.DE.CH.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:41,
1999-01,649.941,
1999-04,641.856,
1999-07,693.969,
1999-10,695.358,
2000-01,722.610,
2000-04,713.621,
2000-07,771.559,
2000-10,773.105,
2001-01,794.550,
2001-04,784.666,
2001-07,848.373,
2001-10,850.072,
2002-01,761.023,
2002-04,585.345,
2002-07,738.559,
2002-10,679.751,
2003-01,574.896,
2003-04,667.280,
2003-07,633.333,
2003-10,544.091,
2004-01,571.831,
2004-04,593.120,
2004-07,716.731,
2004-10,390.755,
2005-01,616.580,
2005-04,550.411,
2005-07,827.903,
2005-10,567.997,
2006-01,776.835,
2006-04,512.881,
2006-07,707.280,
2006-10,569.305,
2007-01,555.743,
2007-04,556.780,
2007-07,828.162,
2007-10,571.460,
2008-01,718.704,
2008-04,668.855,
2008-07,863.242,
2008-10,484.402,
2009-01,558.995,
2009-04,676.854,
2009-07,744.471,
2009-10,502.363,
2010-01,582.456,
2010-04,605.609,
2010-07,926.520,
2010-10,583.147,
2011-01,611.824,
2011-04,592.509,
2011-07,782.017,
2011-10,508.725,
2012-01,618.675,
2012-04,549.690,
2012-07,743.001,
2012-10,532.035,
2013-01,607.274,
2013-04,400.769,
2013-07,791.379,
2013-10,542.347,
2014-01,570.428,Provisional value
2014-04,522.767,Provisional value
2014-07,750.760,Provisional value
2014-10,514.170,Provisional value
