"",BBK01.OEAD17H,BBK01.OEAD17H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:48,
2002-01,1.347,
2002-04,1.344,
2002-07,1.318,
2002-10,1.194,
2003-01,1.084,
2003-04,1.149,
2003-07,0.956,
2003-10,0.859,
2004-01,1.013,
2004-04,0.835,
2004-07,0.754,
2004-10,0.628,
2005-01,0.599,
2005-04,0.673,
2005-07,0.631,
2005-10,0.549,
2006-01,0.599,
2006-04,0.624,
2006-07,0.662,
2006-10,0.638,
2007-01,0.653,
2007-04,0.678,
2007-07,0.573,
2007-10,0.513,
2008-01,0.501,
2008-04,0.635,
2008-07,0.521,
2008-10,0.476,
2009-01,0.521,
2009-04,0.513,
2009-07,0.485,
2009-10,0.398,
2010-01,0.439,
2010-04,0.416,
2010-07,0.436,
2010-10,0.428,
2011-01,0.493,
2011-04,0.492,
2011-07,0.572,
2011-10,0.465,
2012-01,0.521,
2012-04,0.561,
2012-07,0.553,
2012-10,0.459,
2013-01,0.819,
2013-04,0.547,
2013-07,0.513,
2013-10,0.469,
2014-01,0.471,
2014-04,0.514,
2014-07,0.472,
