"",BBK01.OEBB10O,BBK01.OEBB10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:51,
2002-01,1.061,
2002-04,0.737,
2002-07,0.781,
2002-10,0.921,
2003-01,0.928,
2003-04,0.477,
2003-07,0.754,
2003-10,0.279,
2004-01,0.843,
2004-04,0.599,
2004-07,0.688,
2004-10,0.309,
2005-01,1.636,
2005-04,1.589,
2005-07,1.621,
2005-10,1.675,
2006-01,1.659,
2006-04,1.754,
2006-07,1.768,
2006-10,1.842,
2007-01,1.969,
2007-04,1.971,
2007-07,2.067,
2007-10,2.167,
2008-01,2.214,
2008-04,2.086,
2008-07,2.272,
2008-10,2.000,
2009-01,1.945,
2009-04,1.668,
2009-07,1.770,
2009-10,1.697,
2010-01,1.882,
2010-04,1.949,
2010-07,2.005,
2010-10,2.107,
2011-01,2.285,
2011-04,2.464,
2011-07,2.389,
2011-10,2.383,
2012-01,2.438,
2012-04,2.458,
2012-07,2.348,
2012-10,2.357,
2013-01,2.437,
2013-04,2.490,
2013-07,2.347,
2013-10,2.296,
2014-01,2.404,
2014-04,2.412,
2014-07,2.408,
