"",BBSF2.M.1.S.A0000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Non-residents / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:37,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,683,
1993-05,693,
1993-06,548,
1993-07,575,
1993-08,705,
1993-09,727,
1993-10,764,
1993-11,788,
1993-12,823,
1994-01,813,
1994-02,789,
1994-03,782,
1994-04,808,
1994-05,782,
1994-06,762,
1994-07,785,
1994-08,794,
1994-09,754,
1994-10,763,
1994-11,758,
1994-12,747,
1995-01,734,
1995-02,745,
1995-03,724,
1995-04,757,
1995-05,778,
1995-06,779,
1995-07,709,
1995-08,715,
1995-09,691,
1995-10,685,
1995-11,698,
1995-12,682,
1996-01,722,
1996-02,736,
1996-03,742,
1996-04,757,
1996-05,769,
1996-06,777,
1996-07,775,
1996-08,794,
1996-09,817,
1996-10,822,
1996-11,759,
1996-12,828,
1997-01,886,
1997-02,1123,
1997-03,1171,
1997-04,1178,
1997-05,1247,
1997-06,1293,
1997-07,1443,
1997-08,1407,
1997-09,1470,
1997-10,1392,
1997-11,1606,
1997-12,1634,
1998-01,1743,
1998-02,1811,
1998-03,1891,
1998-04,1931,
1998-05,2012,
1998-06,2053,
1998-07,2107,
1998-08,1952,
1998-09,1977,
1998-10,1987,
1998-11,1924,
1998-12,2012,
1999-01,2153,
1999-02,2079,
1999-03,1984,
1999-04,2058,
1999-05,2021,
1999-06,1597,
1999-07,1594,
1999-08,1746,
1999-09,1794,
1999-10,1830,
1999-11,1873,
1999-12,1974,
2000-01,1937,
2000-02,1192,
2000-03,1197,
2000-04,1273,
2000-05,1261,
2000-06,1272,
2000-07,1294,
2000-08,1311,
2000-09,1298,
2000-10,1303,
2000-11,1279,
2000-12,1285,
2001-01,1288,
2001-02,1350,
2001-03,1199,
2001-04,1295,
2001-05,1298,
2001-06,1105,
2001-07,1095,
2001-08,1089,
2001-09,1048,
2001-10,1063,
2001-11,1095,
2001-12,1087,
2002-01,1077,
2002-02,1142,
2002-03,1096,
2002-04,1059,
2002-05,1051,
2002-06,1027,
2002-07,973,
2002-08,976,
2002-09,861,
2002-10,876,
2002-11,894,
2002-12,869,
2003-01,859,
2003-02,856,
2003-03,841,
2003-04,794,
2003-05,799,
2003-06,790,
2003-07,772,
2003-08,651,
2003-09,589,
2003-10,599,
2003-11,606,
2003-12,606,
2004-01,614,
2004-02,619,
2004-03,616,
2004-04,639,
2004-05,636,
2004-06,664,
2004-07,660,
2004-08,662,
2004-09,657,
2004-10,658,
2004-11,666,
2004-12,668,
2005-01,694,
2005-02,775,
2005-03,775,
2005-04,788,
2005-05,771,
2005-06,784,
2005-07,804,
2005-08,881,
2005-09,1095,
2005-10,1064,
2005-11,1079,
2005-12,1091,
2006-01,1076,
2006-02,1094,
2006-03,1089,
2006-04,1030,
2006-05,1036,
2006-06,1046,
2006-07,1075,
2006-08,1097,
2006-09,1174,
2006-10,1222,
2006-11,1208,
2006-12,1208,
2007-01,1221,
2007-02,1238,
2007-03,1265,
2007-04,1297,
2007-05,1321,
2007-06,1146,
2007-07,1150,
2007-08,1161,
2007-09,1192,
2007-10,1212,
2007-11,1207,
2007-12,1187,
2008-01,1172,
2008-02,1174,
2008-03,1157,
2008-04,1211,
2008-05,1300,
2008-06,1280,
2008-07,1289,
2008-08,1287,
2008-09,1257,
2008-10,1227,
2008-11,1177,
2008-12,2551,
2009-01,2553,
2009-02,2467,
2009-03,2434,
2009-04,2460,
2009-05,2215,
2009-06,2239,
2009-07,2272,
2009-08,2289,
2009-09,282,
2009-10,280,
2009-11,142,
2009-12,143,
2010-01,143,
2010-02,143,
2010-03,146,
2010-04,145,
2010-05,145,
2010-06,144,
2010-07,145,
2010-08,146,
2010-09,117,
2010-10,58,
2010-11,57,
2010-12,57,
2011-01,57,
2011-02,57,
2011-03,57,
2011-04,57,
2011-05,57,
2011-06,56,
2011-07,56,
2011-08,55,
2011-09,55,
2011-10,56,
2011-11,30,
2011-12,30,
2012-01,31,
2012-02,31,
2012-03,32,
2012-04,1052,
2012-05,187,
2012-06,40,
2012-07,33,
2012-08,34,
2012-09,34,
2012-10,34,
2012-11,61,
2012-12,61,
2013-01,61,
2013-02,61,
2013-03,62,
2013-04,116,
2013-05,116,
2013-06,111,
2013-07,136,
2013-08,136,
2013-09,139,
2013-10,142,
2013-11,143,
2013-12,139,
2014-01,139,
2014-02,146,
2014-03,145,
2014-04,147,
2014-05,149,
2014-06,148,
2014-07,148,
2014-08,195,
2014-09,195,
2014-10,199,
2014-11,204,
