"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:12,
1991-01,478.542,
1991-04,603.221,
1991-07,611.083,
1991-10,466.612,
1992-01,-133.182,
1992-04,14.773,
1992-07,-138.266,
1992-10,-190.343,
1993-01,-135.365,
1993-04,-82.726,
1993-07,-29.761,
1993-10,-198.894,
1994-01,136.614,
1994-04,213.388,
1994-07,344.500,
1994-10,193.754,
1995-01,121.836,
1995-04,99.257,
1995-07,67.828,
1995-10,68.759,
1996-01,374.528,
1996-04,444.130,
1996-07,588.639,
1996-10,468.367,
1997-01,690.534,
1997-04,778.623,
1997-07,774.070,
1997-10,731.874,
1998-01,451.138,
1998-04,424.937,
1998-07,412.110,
1998-10,-1055.014,
1999-01,1185.839,
1999-04,1077.662,
1999-07,1100.031,
1999-10,1232.113,
2000-01,-1139.679,
2000-04,-1608.287,
2000-07,-1238.797,
2000-10,-1286.005,
2001-01,-4761.589,
2001-04,-1751.599,
2001-07,-185.282,
2001-10,-2724.742,
2002-01,-1035.478,
2002-04,-2926.080,
2002-07,-599.208,
2002-10,-3401.253,
2003-01,-213.638,
2003-04,-700.034,
2003-07,75.568,
2003-10,-839.970,
2004-01,3967.765,
2004-04,780.156,
2004-07,3447.858,
2004-10,2457.766,
2005-01,4595.905,
2005-04,1457.538,
2005-07,4523.847,
2005-10,3051.518,
2006-01,6205.824,
2006-04,3366.465,
2006-07,6974.050,
2006-10,4615.118,
2007-01,11227.448,
2007-04,7206.751,
2007-07,7224.882,
2007-10,2201.199,
2008-01,1200.499,
2008-04,-7752.112,
2008-07,-2940.549,
2008-10,-3326.935,
2009-01,3192.789,
2009-04,385.582,
2009-07,6128.208,
2009-10,2899.209,
2010-01,2982.922,
2010-04,2079.899,
2010-07,5129.204,
2010-10,2309.500,
2011-01,6940.811,
2011-04,5110.705,
2011-07,7745.578,
2011-10,2940.494,
2012-01,8050.298,
2012-04,4246.620,
2012-07,7354.913,
2012-10,2620.170,
2013-01,8087.679,
2013-04,4733.554,
2013-07,7816.453,
2013-10,3847.785,
2014-01,9059.620,Provisional value
2014-04,8067.912,Provisional value
2014-07,8283.531,Provisional value
2014-10,1870.614,Provisional value
