"",BBK01.OELL05R,BBK01.OELL05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:09,
2002-01,0.004,
2002-04,0.003,
2002-07,0.003,
2002-10,0.006,
2003-01,0.006,
2003-04,0.004,
2003-07,0.005,
2003-10,0.008,
2004-01,0.007,
2004-04,0.006,
2004-07,0.008,
2004-10,0.007,
2005-01,0.010,
2005-04,0.007,
2005-07,0.010,
2005-10,0.009,
2006-01,0.008,
2006-04,0.011,
2006-07,0.012,
2006-10,0.014,
2007-01,0.015,
2007-04,0.016,
2007-07,0.016,
2007-10,0.016,
2008-01,0.013,
2008-04,0.014,
2008-07,0.015,
2008-10,0.015,
2009-01,0.017,
2009-04,0.017,
2009-07,0.019,
2009-10,0.023,
2010-01,0.027,
2010-04,0.027,
2010-07,0.029,
2010-10,0.030,
2011-01,0.033,
2011-04,0.036,
2011-07,0.043,
2011-10,0.041,
2012-01,0.040,
2012-04,0.038,
2012-07,0.037,
2012-10,0.033,
2013-01,0.034,
2013-04,0.034,
2013-07,0.034,
2013-10,0.034,
2014-01,0.031,
2014-04,0.029,
2014-07,0.029,
