"",BBK01.OEAA30M,BBK01.OEAA30M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:50,
2002-01,2.792,
2002-04,2.760,
2002-07,2.687,
2002-10,2.700,
2003-01,2.646,
2003-04,2.616,
2003-07,2.610,
2003-10,2.534,
2004-01,2.467,
2004-04,2.437,
2004-07,2.348,
2004-10,2.283,
2005-01,2.221,
2005-04,3.614,
2005-07,3.543,
2005-10,3.459,
2006-01,3.475,
2006-04,3.627,
2006-07,3.717,
2006-10,3.609,
2007-01,3.654,
2007-04,3.582,
2007-07,3.711,
2007-10,3.745,
2008-01,3.561,
2008-04,3.612,
2008-07,3.541,
2008-10,3.671,
2009-01,3.740,
2009-04,3.834,
2009-07,3.954,
2009-10,4.129,
2010-01,4.190,
2010-04,4.172,
2010-07,4.308,
2010-10,4.424,
2011-01,4.355,
2011-04,4.353,
2011-07,4.364,
2011-10,4.530,
2012-01,4.639,
2012-04,4.900,
2012-07,4.990,
2012-10,5.119,
2013-01,4.941,
2013-04,5.052,
2013-07,5.027,
2013-10,5.160,
2014-01,5.246,
2014-04,5.061,
2014-07,5.178,
