"",BBK01.OELJ01Q,BBK01.OELJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:19,
2002-01,2.194,
2002-04,2.148,
2002-07,2.198,
2002-10,2.257,
2003-01,2.169,
2003-04,1.437,
2003-07,2.430,
2003-10,2.453,
2004-01,2.447,
2004-04,2.552,
2004-07,2.527,
2004-10,2.407,
2005-01,2.206,
2005-04,2.314,
2005-07,2.097,
2005-10,2.278,
2006-01,2.252,
2006-04,2.352,
2006-07,2.431,
2006-10,2.419,
2007-01,2.497,
2007-04,2.520,
2007-07,2.392,
2007-10,2.368,
2008-01,2.228,
2008-04,2.217,
2008-07,2.316,
2008-10,2.334,
2009-01,2.242,
2009-04,2.214,
2009-07,2.412,
2009-10,2.391,
2010-01,2.370,
2010-04,2.502,
2010-07,2.608,
2010-10,2.747,
2011-01,2.631,
2011-04,2.687,
2011-07,2.723,
2011-10,2.817,
2012-01,2.780,
2012-04,2.808,
2012-07,3.015,
2012-10,2.931,
2013-01,3.073,
2013-04,3.074,
2013-07,3.178,
2013-10,3.187,
2014-01,3.320,
2014-04,3.180,
2014-07,3.294,
