"",BBSF2.M.1.S.I1314.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:15,
2009-09,5,
2009-10,5,
2009-11,96,
2009-12,499,
2010-01,104,
2010-02,48,
2010-03,11,
2010-04,95,
2010-05,76,
2010-06,34,
2010-07,381,
2010-08,6,
2010-09,276,
2010-10,359,
2010-11,11,
2010-12,65,
2011-01,95,
2011-02,29,
2011-03,14,
2011-04,5,
2011-05,6,
2011-06,22,
2011-07,11,
2011-08,59,
2011-09,11,
2011-10,6,
2011-11,16,
2011-12,58,
2012-01,26,
2012-02,25,
2012-03,308,
2012-04,7,
2012-05,22,
2012-06,15,
2012-07,988,
2012-08,5,
2012-09,11,
2012-10,89,
2012-11,53,
2012-12,69,
2013-01,51,
2013-02,116,
2013-03,8,
2013-04,39,
2013-05,35,
2013-06,30,
2013-07,22,
2013-08,44,
2013-09,7,
2013-10,30,
2013-11,9,
2013-12,47,
2014-01,33,
2014-02,24,
2014-03,11,
2014-04,83,
2014-05,45,
2014-06,3,
2014-07,26,
2014-08,40,
2014-09,118,
2014-10,94,
2014-11,63,
