"",BBEX3.M.DKK.USD.CA.AC.A01,BBEX3.M.DKK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Denmark / USD 100 = DKK ... (middle),
unit,DKK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:02,
1989-01,724.00,
1989-02,712.70,
1989-03,736.40,
1989-04,730.60,
1989-05,774.60,
1989-06,759.30,
1989-07,726.60,
1989-08,761.10,
1989-09,729.00,
1989-10,715.55,
1989-11,694.75,
1989-12,660.75,
1990-01,649.65,
1990-02,650.20,
1990-03,646.85,
1990-04,639.40,
1990-05,645.65,
1990-06,635.85,
1990-07,611.50,
1990-08,598.90,
1990-09,598.10,
1990-10,580.60,
1990-11,577.15,
1990-12,577.60,
1991-01,573.50,
1991-02,583.20,
1991-03,646.30,
1991-04,662.80,
1991-05,662.75,
1991-06,702.00,
1991-07,676.25,
1991-08,672.30,
1991-09,641.00,
1991-10,650.20,
1991-11,634.40,
1991-12,591.35,
1992-01,625.60,
1992-02,635.85,
1992-03,637.25,
1992-04,641.60,
1992-05,619.50,
1992-06,586.20,
1992-07,569.25,
1992-08,545.10,
1992-09,546.65,
1992-10,590.00,
1992-11,619.60,
1992-12,625.55,
1993-01,614.35,
1993-02,630.05,
1993-03,619.65,
1993-04,608.30,
1993-05,614.05,
1993-06,650.00,
1993-07,678.35,
1993-08,686.60,
1993-09,654.10,
1993-10,676.05,
1993-11,677.50,
1993-12,677.25,
1994-01,675.75,
1994-02,671.70,
1994-03,659.90,
1994-04,657.90,
1994-05,643.50,
1994-06,627.00,
1994-07,625.95,
1994-08,624.00,
1994-09,607.25,
1994-10,591.30,
1994-11,615.15,
1994-12,608.30,
1995-01,594.90,
1995-02,581.75,
1995-03,548.00,
1995-04,542.25,
1995-05,542.55,
1995-06,540.55,
1995-07,537.15,
1995-08,569.85,
1995-09,550.80,
1995-10,547.05,
1995-11,555.80,
1995-12,554.60,
1996-01,577.00,
1996-02,566.95,
1996-03,569.60,
1996-04,588.65,
1996-05,592.30,
1996-06,587.00,
1996-07,567.70,
1996-08,572.00,
1996-09,586.30,
1996-10,580.25,
1996-11,588.60,
1996-12,594.45,
1997-01,623.85,
1997-02,645.00,
1997-03,644.55,
1997-04,657.65,
1997-05,647.15,
1997-06,663.90,
1997-07,698.55,
1997-08,684.30,
1997-09,673.95,
1997-10,657.50,
1997-11,671.85,
1997-12,682.60,
1998-01,696.20,
1998-02,689.55,
1998-03,704.15,
1998-04,684.41,
1998-05,679.49,
1998-06,689.09,
1998-07,679.06,
1998-08,674.80,
1998-09,637.10,
1998-10,628.64,
1998-11,648.93,
1998-12,638.65,
1999-01,651.79,
1999-02,674.14,
1999-03,692.93,
1999-04,700.51,
1999-05,710.35,
1999-06,720.41,
1999-07,694.87,
1999-08,705.75,
1999-09,696.37,
1999-10,708.88,
1999-11,735.05,
1999-12,739.88,
2000-01,758.82,
2000-02,764.64,
2000-03,778.95,
2000-04,820.80,
2000-05,800.02,
2000-06,778.95,
2000-07,806.40,
2000-08,833.11,
2000-09,846.53,
2000-10,886.45,
2000-11,859.95,
2000-12,802.05,
2001-01,801.86,
2001-02,809.99,
2001-03,847.19,
2001-04,838.99,
2001-05,878.74,
2001-06,878.99,
2001-07,850.69,
2001-08,812.61,
2001-09,811.82,
2001-10,822.69,
2001-11,839.81,
2001-12,840.95,
2002-01,860.04,
2002-02,859.06,
2002-03,849.90,
2002-04,825.27,
2002-05,791.77,
2002-06,744.78,
2002-07,759.39,
2002-08,755.13,
2002-09,753.29,
2002-10,753.44,
2002-11,748.07,
2002-12,708.22,
2003-01,687.57,
2003-02,688.94,
2003-03,681.63,
2003-04,666.99,
2003-05,628.02,
2003-06,650.21,
2003-07,656.57,
2003-08,679.61,
2003-09,637.28,
2003-10,639.63,
2003-11,620.28,
2003-12,595.76,
2004-01,601.54,
2004-02,600.09,
2004-03,609.03,
2004-04,622.85,
2004-05,607.38,
2004-06,611.48,
2004-07,617.63,
2004-08,614.15,
2004-09,599.69,
2004-10,583.54,
2004-11,558.76,
2004-12,546.76,
2005-01,570.90,
2005-02,561.44,
2005-03,574.63,
2005-04,574.67,
2005-05,603.54,
2005-06,616.23,
2005-07,616.81,
2005-08,611.43,
2005-09,619.70,
2005-10,620.67,
2005-11,633.33,
2005-12,632.41,
2006-01,615.93,
2006-02,628.29,
2006-03,616.52,
2006-04,595.10,
2006-05,579.56,
2006-06,586.74,
2006-07,584.46,
2006-08,580.45,
2006-09,589.07,
2006-10,587.10,
2006-11,564.74,
2006-12,566.14,
2007-01,575.52,
2007-02,564.13,
2007-03,559.45,
2007-04,547.63,
2007-05,553.69,
2007-06,551.07,
2007-07,542.85,
2007-08,543.53,
2007-09,525.74,
2007-10,516.00,
2007-11,505.22,
2007-12,507.53,
2008-01,501.20,
2008-02,491.30,
2008-03,471.59,
2008-04,480.18,
2008-05,480.96,
2008-06,473.10,
2008-07,477.95,
2008-08,506.14,
2008-09,521.65,
2008-10,583.73,
2008-11,585.50,
2008-12,528.49,
2009-01,581.55,
2009-02,589.24,
2009-03,559.68,
2009-04,561.08,
2009-05,528.11,
2009-06,526.89,
2009-07,526.67,
2009-08,521.52,
2009-09,508.39,
2009-10,502.91,
2009-11,495.40,
2009-12,519.01,
2010-01,533.03,
2010-02,548.47,
2010-03,552.32,
2010-04,561.41,
2010-05,604.49,
2010-06,607.02,
2010-07,571.92,
2010-08,587.13,
2010-09,546.01,
2010-10,538.08,
2010-11,573.39,
2010-12,561.33,
2011-01,544.43,
2011-02,538.99,
2011-03,524.86,
2011-04,501.86,
2011-05,518.32,
2011-06,516.07,
2011-07,522.40,
2011-08,515.65,
2011-09,551.11,
2011-10,531.53,
2011-11,554.26,
2011-12,574.56,
2012-01,564.25,
2012-02,553.12,
2012-03,557.05,
2012-04,562.95,
2012-05,599.20,
2012-06,590.42,
2012-07,605.72,
2012-08,590.86,
2012-09,576.60,
2012-10,574.14,
2012-11,574.46,
2012-12,565.91,
2013-01,550.65,
2013-02,567.90,
2013-03,583.71,
2013-04,570.38,
2013-05,573.25,
2013-06,570.24,
2013-07,561.54,
2013-08,563.61,
2013-09,552.24,
2013-10,546.79,
2013-11,548.01,
2013-12,541.27,
2014-01,552.08,
2014-02,540.25,
2014-03,541.48,
2014-04,538.91,
2014-05,548.43,
2014-06,545.89,
2014-07,557.32,
2014-08,565.06,
2014-09,591.52,
2014-10,594.41,
2014-11,596.08,
2014-12,612.14,
2015-01,658.47,
"","General: Until 1998, buying and selling rates were calculated by the commercial banks on the basis of fixed margins; 35 øre until 30 June 1994 and 55 øre from 1 July 1994 (using the middle rate in each case).",
"","Source: Danmarks Nationalbank, Copenhagen.",
