"",BBK01.OEYI05O,BBK01.OEYI05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:04,
2002-01,11.371,
2002-04,11.618,
2002-07,11.645,
2002-10,12.037,
2003-01,12.443,
2003-04,12.466,
2003-07,13.361,
2003-10,13.901,
2004-01,15.097,
2004-04,15.665,
2004-07,16.240,
2004-10,17.063,
2005-01,17.787,
2005-04,17.310,
2005-07,17.707,
2005-10,18.145,
2006-01,18.593,
2006-04,18.564,
2006-07,18.811,
2006-10,19.147,
2007-01,19.305,
2007-04,19.351,
2007-07,19.361,
2007-10,19.746,
2008-01,20.104,
2008-04,20.102,
2008-07,15.809,
2008-10,15.933,
2009-01,16.966,
2009-04,16.930,
2009-07,17.148,
2009-10,17.969,
2010-01,18.369,
2010-04,18.283,
2010-07,18.300,
2010-10,18.245,
2011-01,18.074,
2011-04,17.893,
2011-07,17.900,
2011-10,17.729,
2012-01,17.698,
2012-04,17.548,
2012-07,17.567,
2012-10,17.854,
2013-01,17.691,
2013-04,17.091,
2013-07,16.709,
2013-10,16.716,
2014-01,16.518,
2014-04,16.656,
2014-07,16.387,
