"",BBK01.OEAD40L,BBK01.OEAD40L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:06,
2002-01,1.229,
2002-04,1.207,
2002-07,1.292,
2002-10,1.285,
2003-01,1.341,
2003-04,1.345,
2003-07,1.318,
2003-10,1.262,
2004-01,1.241,
2004-04,1.263,
2004-07,1.228,
2004-10,1.224,
2005-01,1.185,
2005-04,1.142,
2005-07,1.122,
2005-10,1.132,
2006-01,1.106,
2006-04,1.121,
2006-07,1.128,
2006-10,1.077,
2007-01,1.036,
2007-04,1.075,
2007-07,1.048,
2007-10,1.030,
2008-01,1.043,
2008-04,1.013,
2008-07,0.959,
2008-10,0.915,
2009-01,0.895,
2009-04,0.872,
2009-07,0.851,
2009-10,0.831,
2010-01,0.792,
2010-04,0.795,
2010-07,0.797,
2010-10,0.771,
2011-01,0.731,
2011-04,0.729,
2011-07,0.693,
2011-10,0.650,
2012-01,0.622,
2012-04,0.612,
2012-07,0.595,
2012-10,0.575,
2013-01,0.570,
2013-04,0.559,
2013-07,0.560,
2013-10,0.553,
2014-01,0.530,
2014-04,0.516,
2014-07,0.628,
