"",BBK01.OEYJ02G,BBK01.OEYJ02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:35,
2002-01,3.890,
2002-04,5.098,
2002-07,4.293,
2002-10,4.063,
2003-01,5.382,
2003-04,6.137,
2003-07,6.150,
2003-10,4.438,
2004-01,4.617,
2004-04,5.239,
2004-07,6.065,
2004-10,4.532,
2005-01,6.193,
2005-04,7.062,
2005-07,9.618,
2005-10,9.384,
2006-01,9.618,
2006-04,11.253,
2006-07,11.607,
2006-10,10.249,
2007-01,15.640,
2007-04,15.684,
2007-07,16.084,
2007-10,10.800,
2008-01,14.437,
2008-04,17.773,
2008-07,13.900,
2008-10,15.038,
2009-01,15.234,
2009-04,14.294,
2009-07,15.233,
2009-10,13.732,
2010-01,17.107,
2010-04,16.851,
2010-07,17.222,
2010-10,15.758,
2011-01,15.014,
2011-04,16.619,
2011-07,19.743,
2011-10,16.986,
2012-01,22.080,
2012-04,19.939,
2012-07,20.989,
2012-10,19.075,
2013-01,23.072,
2013-04,22.949,
2013-07,19.425,
2013-10,19.573,
2014-01,21.582,
2014-04,20.892,
2014-07,19.241,
