"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Monetary financial institutions / Direct investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:39,
1991-01,32.003,
1991-02,110.259,
1991-03,12.234,
1991-04,61.767,
1991-05,62.123,
1991-06,27.790,
1991-07,64.715,
1991-08,33.629,
1991-09,59.449,
1991-10,33.995,
1991-11,34.012,
1991-12,90.543,
1992-01,-27.420,
1992-02,-8.534,
1992-03,18.764,
1992-04,-7.155,
1992-05,-27.837,
1992-06,-31.147,
1992-07,-15.020,
1992-08,-5.368,
1992-09,3.185,
1992-10,5.676,
1992-11,-32.122,
1992-12,15.850,
1993-01,-10.427,
1993-02,251.657,
1993-03,3.197,
1993-04,44.913,
1993-05,83.561,
1993-06,62.414,
1993-07,46.612,
1993-08,39.112,
1993-09,15.715,
1993-10,135.060,
1993-11,32.846,
1993-12,-606.099,
1994-01,-215.536,
1994-02,-35.320,
1994-03,-41.341,
1994-04,-14.942,
1994-05,-58.632,
1994-06,-31.416,
1994-07,-51.312,
1994-08,-112.424,
1994-09,-1.788,
1994-10,-17.186,
1994-11,-52.427,
1994-12,-244.441,
1995-01,-6.694,
1995-02,75.608,
1995-03,57.348,
1995-04,44.199,
1995-05,52.960,
1995-06,61.417,
1995-07,32.843,
1995-08,57.915,
1995-09,206.236,
1995-10,69.718,
1995-11,116.369,
1995-12,142.225,
1996-01,23.552,
1996-02,18.098,
1996-03,-416.283,
1996-04,-21.646,
1996-05,-76.961,
1996-06,1.808,
1996-07,-27.534,
1996-08,28.194,
1996-09,-4.462,
1996-10,37.958,
1996-11,5.772,
1996-12,-258.333,
1997-01,-0.782,
1997-02,-18.642,
1997-03,-155.629,
1997-04,-12.964,
1997-05,-8.051,
1997-06,29.089,
1997-07,9.428,
1997-08,-18.075,
1997-09,-31.612,
1997-10,-85.367,
1997-11,-46.763,
1997-12,-38.985,
1998-01,269.308,
1998-02,1652.168,
1998-03,-29.049,
1998-04,62.029,
1998-05,196.898,
1998-06,104.015,
1998-07,1.480,
1998-08,-3.504,
1998-09,44.111,
1998-10,117.418,
1998-11,-0.107,
1998-12,-133.807,
1999-01,-13.317,
1999-02,-10.601,
1999-03,27.432,
1999-04,-6.082,
1999-05,-7.484,
1999-06,139.650,
1999-07,-25.431,
1999-08,-43.525,
1999-09,69.216,
1999-10,-12.510,
1999-11,-12.300,
1999-12,-52.436,
2000-01,1782.225,
2000-02,-54.068,
2000-03,-46.383,
2000-04,-13.283,
2000-05,-18.685,
2000-06,51.080,
2000-07,-20.427,
2000-08,-76.299,
2000-09,-13.743,
2000-10,37.108,
2000-11,57.406,
2000-12,-1293.109,
2001-01,306.169,
2001-02,-0.403,
2001-03,-0.119,
2001-04,0.187,
2001-05,58.616,
2001-06,-10.298,
2001-07,133.402,
2001-08,-10.685,
2001-09,-1.120,
2001-10,15.277,
2001-11,763.969,
2001-12,-29.186,
2002-01,-31.482,
2002-02,30.021,
2002-03,2677.529,
2002-04,2.132,
2002-05,2117.627,
2002-06,-1441.175,
2002-07,-0.679,
2002-08,192.126,
2002-09,9.794,
2002-10,-18.609,
2002-11,-0.954,
2002-12,55.608,
2003-01,129.719,
2003-02,213.010,
2003-03,5.080,
2003-04,-17.080,
2003-05,32.160,
2003-06,8.042,
2003-07,-280.396,
2003-08,6.455,
2003-09,-37.112,
2003-10,153.547,
2003-11,3.744,
2003-12,-249.996,
2004-01,-734.560,
2004-02,62.483,
2004-03,117.972,
2004-04,64.470,
2004-05,-349.231,
2004-06,86.261,
2004-07,237.728,
2004-08,69.255,
2004-09,125.676,
2004-10,53.585,
2004-11,108.200,
2004-12,452.031,
2005-01,330.802,
2005-02,224.338,
2005-03,122.310,
2005-04,81.299,
2005-05,195.420,
2005-06,54.829,
2005-07,152.288,
2005-08,115.063,
2005-09,207.903,
2005-10,93.854,
2005-11,19043.064,
2005-12,-102.561,
2006-01,950.616,
2006-02,151.213,
2006-03,35.526,
2006-04,114.142,
2006-05,120.881,
2006-06,141.670,
2006-07,275.100,
2006-08,204.896,
2006-09,295.637,
2006-10,1486.821,
2006-11,208.182,
2006-12,253.495,
2007-01,935.568,
2007-02,973.109,
2007-03,882.089,
2007-04,618.776,
2007-05,1771.259,
2007-06,1407.202,
2007-07,1388.604,
2007-08,526.691,
2007-09,962.162,
2007-10,689.834,
2007-11,472.227,
2007-12,1058.888,
2008-01,2412.943,
2008-02,1508.640,
2008-03,845.927,
2008-04,-540.751,
2008-05,-927.524,
2008-06,-1186.385,
2008-07,-1510.878,
2008-08,-1371.475,
2008-09,-297.170,
2008-10,-833.654,
2008-11,-458.934,
2008-12,665.855,
2009-01,126.380,
2009-02,-848.798,
2009-03,999.398,
2009-04,78.599,
2009-05,27.088,
2009-06,-249.015,
2009-07,33.744,
2009-08,-52.925,
2009-09,-12.057,
2009-10,-3.478,
2009-11,201.369,
2009-12,88.180,
2010-01,158.602,
2010-02,256.461,
2010-03,308.921,
2010-04,473.712,
2010-05,-1283.073,
2010-06,309.229,
2010-07,495.638,
2010-08,296.576,
2010-09,346.728,
2010-10,380.417,
2010-11,282.054,
2010-12,1167.016,
2011-01,-1600.080,
2011-02,194.458,
2011-03,83.068,
2011-04,178.855,
2011-05,-946.988,
2011-06,109.692,
2011-07,169.163,
2011-08,170.977,
2011-09,230.849,
2011-10,238.648,
2011-11,261.693,
2011-12,77.279,
2012-01,192.770,
2012-02,431.946,
2012-03,291.837,
2012-04,-352.146,
2012-05,-734.671,
2012-06,43.863,
2012-07,310.733,
2012-08,137.338,
2012-09,234.526,
2012-10,206.517,
2012-11,251.647,
2012-12,264.969,
2013-01,-108.520,
2013-02,308.439,
2013-03,33.274,
2013-04,138.248,
2013-05,-2337.422,
2013-06,133.065,
2013-07,490.348,
2013-08,273.750,
2013-09,346.042,
2013-10,232.769,
2013-11,217.453,
2013-12,189.961,
2014-01,248.214,
2014-02,-20.606,Provisional value
2014-03,-49.705,Provisional value
2014-04,425.143,Provisional value
2014-05,152.064,Provisional value
2014-06,-665.643,Provisional value
2014-07,190.594,Provisional value
2014-08,189.562,Provisional value
2014-09,189.682,
2014-10,324.821,
2014-11,303.914,
2014-12,-598.228,Provisional value
