"",BBFN1.M.DE.N.1.A.W03100.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from credit terms granted / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:00,
1995-01,4.651,
1995-02,4.597,
1995-03,4.870,
1995-04,5.006,
1995-05,5.198,
1995-06,5.312,
1995-07,5.548,
1995-08,5.623,
1995-09,5.699,
1995-10,5.606,
1995-11,5.744,
1995-12,5.716,
1996-01,5.737,
1996-02,5.688,
1996-03,5.909,
1996-04,6.126,
1996-05,6.298,
1996-06,6.424,
1996-07,6.498,
1996-08,6.503,
1996-09,6.609,
1996-10,6.868,
1996-11,7.042,
1996-12,6.899,
1997-01,6.864,
1997-02,6.914,
1997-03,7.140,
1997-04,7.346,
1997-05,7.520,
1997-06,7.669,
1997-07,7.794,
1997-08,7.904,
1997-09,8.002,
1997-10,8.205,
1997-11,8.267,
1997-12,8.441,
1998-01,8.508,
1998-02,8.843,
1998-03,8.618,
1998-04,8.667,
1998-05,8.873,
1998-06,8.805,
1998-07,8.917,
1998-08,8.740,
1998-09,8.939,
1998-10,8.908,
1998-11,8.942,
1998-12,8.798,
1999-01,8.611,
1999-02,8.743,
1999-03,9.199,
1999-04,8.796,
1999-05,9.620,
1999-06,9.799,
1999-07,9.858,
1999-08,9.979,
1999-09,9.897,
1999-10,10.567,
1999-11,10.568,
1999-12,10.784,
2000-01,10.838,
2000-02,10.762,
2000-03,10.897,
2000-04,11.099,
2000-05,11.390,
2000-06,11.920,
2000-07,12.252,
2000-08,12.132,
2000-09,12.646,
2000-10,12.652,
2000-11,12.967,
2000-12,13.032,
2001-01,12.784,
2001-02,12.909,
2001-03,13.071,
2001-04,13.308,
2001-05,13.283,
2001-06,14.075,
2001-07,13.352,
2001-08,13.369,
2001-09,13.663,
2001-10,13.772,
2001-11,13.780,
2001-12,12.619,
2002-01,11.740,
2002-02,12.016,
2002-03,12.473,
2002-04,12.791,
2002-05,13.080,
2002-06,13.283,
2002-07,13.291,
2002-08,13.055,
2002-09,13.345,
2002-10,13.374,
2002-11,13.559,
2002-12,13.257,
2003-01,13.003,
2003-02,12.672,
2003-03,13.040,
2003-04,13.133,
2003-05,12.849,
2003-06,12.860,
2003-07,13.146,
2003-08,13.279,
2003-09,13.044,
2003-10,13.125,
2003-11,13.432,
2003-12,12.871,
2004-01,12.318,
2004-02,12.352,
2004-03,13.110,
2004-04,13.062,
2004-05,10.229,
2004-06,10.660,
2004-07,10.799,
2004-08,10.505,
2004-09,10.647,
2004-10,10.660,
2004-11,10.656,
2004-12,10.408,
2005-01,10.364,
2005-02,10.479,
2005-03,10.790,
2005-04,10.743,
2005-05,11.006,
2005-06,11.409,
2005-07,11.341,
2005-08,11.292,
2005-09,11.551,
2005-10,11.538,
2005-11,11.797,
2005-12,11.923,
2006-01,11.991,
2006-02,12.170,
2006-03,12.894,
2006-04,13.060,
2006-05,13.539,
2006-06,13.768,
2006-07,13.634,
2006-08,13.772,
2006-09,13.784,
2006-10,13.764,
2006-11,14.054,
2006-12,13.752,
2007-01,13.360,
2007-02,13.779,
2007-03,14.279,
2007-04,14.515,
2007-05,14.770,
2007-06,15.409,
2007-07,15.826,
2007-08,15.738,
2007-09,15.996,
2007-10,16.394,
2007-11,16.678,
2007-12,16.016,
2008-01,15.697,
2008-02,15.995,
2008-03,16.372,
2008-04,16.723,
2008-05,16.797,
2008-06,17.422,
2008-07,17.480,
2008-08,17.350,
2008-09,17.548,
2008-10,17.885,
2008-11,18.476,
2008-12,17.658,
2009-01,16.902,
2009-02,16.400,
2009-03,15.866,
2009-04,15.756,
2009-05,15.592,
2009-06,15.753,
2009-07,16.379,
2009-08,16.280,
2009-09,16.906,
2009-10,17.181,
2009-11,17.430,
2009-12,16.835,
2010-01,17.207,
2010-02,17.723,
2010-03,18.877,
2010-04,19.812,
2010-05,19.931,
2010-06,20.810,
2010-07,20.336,
2010-08,19.881,
2010-09,20.284,
2010-10,21.032,
2010-11,21.473,
2010-12,21.226,
2011-01,21.069,
2011-02,21.944,
2011-03,22.930,
2011-04,23.423,
2011-05,24.375,
2011-06,23.884,
2011-07,25.053,
2011-08,25.142,
2011-09,25.825,
2011-10,26.295,
2011-11,26.953,
2011-12,26.217,
2012-01,26.902,
2012-02,27.584,
2012-03,28.229,
2012-04,28.666,
2012-05,29.341,
2012-06,30.263,
2012-07,30.767,
2012-08,30.136,
2012-09,29.728,
2012-10,29.401,
2012-11,29.898,
2012-12,28.853,
2013-01,28.324,
2013-02,29.622,
2013-03,29.915,
2013-04,30.641,
2013-05,30.329,
2013-06,31.228,
2013-07,30.892,
2013-08,30.819,
2013-09,31.494,
2013-10,31.168,
2013-11,32.318,
2013-12,31.278,
2014-01,29.716,
2014-02,30.348,
2014-03,30.821,
2014-04,31.809,
2014-05,31.173,
2014-06,32.010,
2014-07,32.723,
2014-08,32.095,
2014-09,32.878,
2014-10,33.514,
2014-11,33.428,
2014-12,32.302,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
