"",BBK01.OEAA49V,BBK01.OEAA49V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:21,
2002-01,7.146,
2002-04,6.808,
2002-07,7.286,
2002-10,7.168,
2003-01,6.833,
2003-04,6.968,
2003-07,6.885,
2003-10,6.615,
2004-01,6.921,
2004-04,6.501,
2004-07,6.375,
2004-10,5.966,
2005-01,5.914,
2005-04,6.211,
2005-07,5.998,
2005-10,7.218,
2006-01,7.433,
2006-04,7.272,
2006-07,7.543,
2006-10,7.550,
2007-01,7.620,
2007-04,7.492,
2007-07,14.494,
2007-10,11.008,
2008-01,10.565,
2008-04,1.063,
2008-07,1.025,
2008-10,0.937,
2009-01,0.698,
2009-04,0.789,
2009-07,0.830,
2009-10,2.403,
2010-01,2.437,
2010-04,1.945,
2010-07,1.289,
2010-10,1.320,
2011-01,1.405,
2011-04,1.328,
2011-07,2.720,
2011-10,2.513,
2012-01,2.483,
2012-04,2.441,
2012-07,2.303,
2012-10,1.642,
2013-01,1.624,
2013-04,1.288,
2013-07,1.418,
2013-10,1.281,
2014-01,1.538,
2014-04,1.670,
2014-07,1.724,
