"",BBFB1.Q.N.DE.CA.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:41,
1991-01,45.546,
1991-04,56.384,
1991-07,47.597,
1991-10,44.398,
1992-01,32.344,
1992-04,27.764,
1992-07,79.372,
1992-10,34.419,
1993-01,56.692,
1993-04,18.331,
1993-07,-5.866,
1993-10,-14.538,
1994-01,93.824,
1994-04,16.041,
1994-07,16.258,
1994-10,22.228,
1995-01,54.781,
1995-04,45.426,
1995-07,39.092,
1995-10,57.658,
1996-01,82.825,
1996-04,24.454,
1996-07,69.485,
1996-10,65.160,
1997-01,60.320,
1997-04,85.825,
1997-07,93.268,
1997-10,110.519,
1998-01,77.054,
1998-04,101.979,
1998-07,147.642,
1998-10,121.704,
1999-01,198.804,
1999-04,204.866,
1999-07,182.677,
1999-10,174.357,
2000-01,215.831,
2000-04,207.684,
2000-07,219.205,
2000-10,254.725,
2001-01,84.153,
2001-04,-44.535,
2001-07,-73.075,
2001-10,-60.319,
2002-01,85.395,
2002-04,78.871,
2002-07,111.008,
2002-10,113.418,
2003-01,130.884,
2003-04,134.236,
2003-07,127.254,
2003-10,113.170,
2004-01,-32.266,
2004-04,12.491,
2004-07,-33.121,
2004-10,-30.764,
2005-01,35.063,
2005-04,46.137,
2005-07,29.376,
2005-10,28.115,
2006-01,46.875,
2006-04,126.756,
2006-07,23.609,
2006-10,24.431,
2007-01,47.728,
2007-04,84.281,
2007-07,58.516,
2007-10,61.833,
2008-01,-58.007,
2008-04,136.765,
2008-07,156.773,
2008-10,72.284,
2009-01,34.937,
2009-04,74.363,
2009-07,104.096,
2009-10,195.405,
2010-01,152.300,
2010-04,175.169,
2010-07,163.736,
2010-10,142.926,
2011-01,42.869,
2011-04,62.088,
2011-07,36.117,
2011-10,32.963,
2012-01,36.516,
2012-04,48.309,
2012-07,25.117,
2012-10,23.968,
2013-01,42.813,
2013-04,83.615,
2013-07,31.185,
2013-10,39.027,
2014-01,39.214,Provisional value
2014-04,58.396,Provisional value
2014-07,38.216,Provisional value
