"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:14,
1991-01,-0.257,
1991-04,-1.440,
1991-07,-1.579,
1991-10,-0.292,
1992-01,-0.524,
1992-04,-3.039,
1992-07,-0.897,
1992-10,1.967,
1993-01,5.963,
1993-04,0.713,
1993-07,6.325,
1993-10,35.668,
1994-01,-23.373,
1994-04,-26.347,
1994-07,12.414,
1994-10,-4.039,
1995-01,-8.494,
1995-04,3.211,
1995-07,32.684,
1995-10,14.122,
1996-01,-4.896,
1996-04,-0.401,
1996-07,16.951,
1996-10,21.414,
1997-01,-63.748,
1997-04,41.312,
1997-07,-87.905,
1997-10,-66.484,
1998-01,-42.541,
1998-04,1.962,
1998-07,48.825,
1998-10,14.387,
1999-01,-1.431,
1999-04,-1300.409,
1999-07,1.143,
1999-10,-30.170,
2000-01,-27.281,
2000-04,241.719,
2000-07,214.785,
2000-10,260.451,
2001-01,206.624,
2001-04,322.970,
2001-07,-26.609,
2001-10,66.890,
2002-01,-75.861,
2002-04,-19.563,
2002-07,11.285,
2002-10,17.922,
2003-01,-0.321,
2003-04,-40.874,
2003-07,1.304,
2003-10,9.783,
2004-01,-20.896,
2004-04,-60.973,
2004-07,30.688,
2004-10,-44.279,
2005-01,-18.945,
2005-04,-2.102,
2005-07,-114.020,
2005-10,-160.571,
2006-01,-56.044,
2006-04,29.695,
2006-07,1.084,
2006-10,-68.708,
2007-01,-16.976,
2007-04,-10.055,
2007-07,85.861,
2007-10,19.822,
2008-01,150.897,
2008-04,-45.960,
2008-07,50.324,
2008-10,291.105,
2009-01,91.018,
2009-04,38.868,
2009-07,-82.758,
2009-10,59.235,
2010-01,-32.552,
2010-04,9.746,
2010-07,41.170,
2010-10,-32.817,
2011-01,-23.972,
2011-04,-70.012,
2011-07,-10.486,
2011-10,19.395,
2012-01,-59.381,
2012-04,-32.418,
2012-07,-49.555,
2012-10,-119.880,
2013-01,-24.992,
2013-04,92.336,
2013-07,-6.822,
2013-10,20.013,
2014-01,-67.614,Provisional value
2014-04,-38.409,Provisional value
2014-07,-75.559,Provisional value
2014-10,-59.045,Provisional value
