"",BBK01.OEAI08H,BBK01.OEAI08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:50,
2002-01,82.860,
2002-04,81.150,
2002-07,80.954,
2002-10,84.081,
2003-01,86.274,
2003-04,87.535,
2003-07,89.915,
2003-10,92.507,
2004-01,93.736,
2004-04,94.561,
2004-07,95.145,
2004-10,97.462,
2005-01,103.783,
2005-04,103.770,
2005-07,104.286,
2005-10,105.002,
2006-01,103.999,
2006-04,101.981,
2006-07,98.874,
2006-10,97.075,
2007-01,94.251,
2007-04,91.580,
2007-07,88.621,
2007-10,88.035,
2008-01,85.946,
2008-04,84.473,
2008-07,82.035,
2008-10,83.049,
2009-01,86.136,
2009-04,88.335,
2009-07,90.387,
2009-10,93.850,
2010-01,97.154,
2010-04,99.678,
2010-07,102.084,
2010-10,105.228,
2011-01,106.479,
2011-04,105.555,
2011-07,104.755,
2011-10,107.175,
2012-01,109.651,
2012-04,109.917,
2012-07,110.535,
2012-10,112.406,
2013-01,112.557,
2013-04,111.936,
2013-07,110.857,
2013-10,111.102,
2014-01,109.768,
2014-04,108.836,
2014-07,108.276,
