"",BBK01.OEHM09H,BBK01.OEHM09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:14,
2002-01,0.155,
2002-04,0.133,
2002-07,0.134,
2002-10,0.125,
2003-01,0.082,
2003-04,0.075,
2003-07,0.069,
2003-10,0.074,
2004-01,0.091,
2004-04,0.096,
2004-07,0.135,
2004-10,0.182,
2005-01,0.180,
2005-04,0.162,
2005-07,0.162,
2005-10,0.134,
2006-01,0.127,
2006-04,0.130,
2006-07,0.120,
2006-10,0.138,
2007-01,0.128,
2007-04,0.114,
2007-07,0.120,
2007-10,0.104,
2008-01,0.098,
2008-04,0.091,
2008-07,0.082,
2008-10,0.079,
2009-01,0.109,
2009-04,0.133,
2009-07,0.175,
2009-10,0.212,
2010-01,0.204,
2010-04,0.200,
2010-07,0.179,
2010-10,0.157,
2011-01,0.135,
2011-04,0.118,
2011-07,0.091,
2011-10,0.078,
2012-01,0.078,
2012-04,0.070,
2012-07,0.065,
2012-10,0.067,
2013-01,0.060,
2013-04,0.070,
2013-07,0.108,
2013-10,0.131,
2014-01,0.134,
2014-04,0.125,
2014-07,0.118,
