"",BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:14,
1991-01,574.835,
1991-04,158.707,
1991-07,297.574,
1991-10,-191.513,
1992-01,261.960,
1992-04,-48.213,
1992-07,167.357,
1992-10,-123.245,
1993-01,-172.030,
1993-04,297.584,
1993-07,-512.755,
1993-10,-692.239,
1994-01,-403.334,
1994-04,423.096,
1994-07,532.132,
1994-10,1033.514,
1995-01,-311.182,
1995-04,207.207,
1995-07,1424.088,
1995-10,274.703,
1996-01,272.179,
1996-04,213.672,
1996-07,706.367,
1996-10,369.417,
1997-01,503.018,
1997-04,753.116,
1997-07,2288.420,
1997-10,1196.579,
1998-01,-125.445,
1998-04,2814.067,
1998-07,2049.356,
1998-10,-192.893,
1999-01,3184.668,
1999-04,6546.203,
1999-07,4790.054,
1999-10,242.659,
2000-01,-3640.652,
2000-04,20970.308,
2000-07,35970.506,
2000-10,1000.288,
2001-01,-4855.519,
2001-04,7738.012,
2001-07,12443.542,
2001-10,5735.868,
2002-01,13740.025,
2002-04,22690.016,
2002-07,2039.498,
2002-10,-1794.349,
2003-01,224.113,
2003-04,10063.554,
2003-07,3809.655,
2003-10,6919.451,
2004-01,2454.610,
2004-04,4730.374,
2004-07,-8188.523,
2004-10,-972.354,
2005-01,1849.198,
2005-04,2283.672,
2005-07,-5596.386,
2005-10,5564.761,
2006-01,4291.368,
2006-04,7949.575,
2006-07,6434.681,
2006-10,985.921,
2007-01,-358.489,
2007-04,-3481.677,
2007-07,15362.062,
2007-10,-15170.814,
2008-01,-2717.577,
2008-04,4923.886,
2008-07,5317.814,
2008-10,-10997.823,
2009-01,20873.580,
2009-04,4075.897,
2009-07,1912.892,
2009-10,3899.212,
2010-01,-2569.488,
2010-04,-4650.673,
2010-07,9237.427,
2010-10,8577.823,
2011-01,-8535.310,
2011-04,11495.909,
2011-07,5517.977,
2011-10,12673.747,
2012-01,-4425.972,
2012-04,-826.783,
2012-07,-834.998,
2012-10,12304.490,
2013-01,-3189.002,
2013-04,16814.182,
2013-07,6733.349,
2013-10,-276.914,
2014-01,-10556.081,Provisional value
2014-04,5250.664,Provisional value
2014-07,-13083.467,Provisional value
2014-10,-6940.759,Provisional value
