"",BBK01.OEAA18U,BBK01.OEAA18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:46,
2002-01,1.389,
2002-04,1.395,
2002-07,1.381,
2002-10,1.339,
2003-01,1.303,
2003-04,1.277,
2003-07,1.227,
2003-10,1.159,
2004-01,1.199,
2004-04,1.128,
2004-07,1.094,
2004-10,1.000,
2005-01,1.034,
2005-04,1.015,
2005-07,1.003,
2005-10,0.937,
2006-01,0.970,
2006-04,0.935,
2006-07,0.925,
2006-10,0.937,
2007-01,0.952,
2007-04,1.064,
2007-07,1.010,
2007-10,0.958,
2008-01,1.100,
2008-04,1.114,
2008-07,1.036,
2008-10,1.009,
2009-01,1.012,
2009-04,1.027,
2009-07,1.014,
2009-10,0.873,
2010-01,0.889,
2010-04,0.912,
2010-07,0.842,
2010-10,0.731,
2011-01,0.825,
2011-04,0.855,
2011-07,0.854,
2011-10,0.804,
2012-01,0.881,
2012-04,0.873,
2012-07,0.868,
2012-10,0.786,
2013-01,0.862,
2013-04,0.876,
2013-07,0.854,
2013-10,0.770,
2014-01,0.846,
2014-04,0.886,
2014-07,0.829,
