"",BBK01.OECB23H,BBK01.OECB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:59,
2002-01,0.959,
2002-04,0.732,
2002-07,0.641,
2002-10,0.609,
2003-01,0.775,
2003-04,0.714,
2003-07,1.406,
2003-10,1.334,
2004-01,1.031,
2004-04,1.049,
2004-07,1.069,
2004-10,0.980,
2005-01,0.952,
2005-04,0.942,
2005-07,0.916,
2005-10,0.885,
2006-01,0.788,
2006-04,0.651,
2006-07,0.596,
2006-10,0.589,
2007-01,0.662,
2007-04,0.824,
2007-07,0.583,
2007-10,0.524,
2008-01,0.436,
2008-04,0.367,
2008-07,0.297,
2008-10,0.296,
2009-01,0.298,
2009-04,0.178,
2009-07,0.162,
2009-10,0.144,
2010-01,0.066,
2010-04,0.062,
2010-07,0.070,
2010-10,0.072,
2011-01,0.033,
2011-04,0.087,
2011-07,0.113,
2011-10,0.151,
2012-01,0.091,
2012-04,0.091,
2012-07,0.086,
2012-10,0.079,
2013-01,0.078,
2013-04,0.079,
2013-07,0.080,
2013-10,0.069,
2014-01,0.063,
2014-04,0.060,
2014-07,0.060,
