"",BBK01.OEXO03I,BBK01.OEXO03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:07,
2002-01,0.749,
2002-04,0.727,
2002-07,0.611,
2002-10,0.530,
2003-01,0.692,
2003-04,0.596,
2003-07,0.480,
2003-10,0.414,
2004-01,0.554,
2004-04,0.441,
2004-07,0.407,
2004-10,0.377,
2005-01,0.409,
2005-04,0.391,
2005-07,0.420,
2005-10,0.403,
2006-01,0.537,
2006-04,0.486,
2006-07,0.498,
2006-10,0.581,
2007-01,0.769,
2007-04,0.670,
2007-07,0.650,
2007-10,0.740,
2008-01,0.988,
2008-04,0.862,
2008-07,0.881,
2008-10,1.103,
2009-01,1.020,
2009-04,0.793,
2009-07,0.850,
2009-10,1.201,
2010-01,1.017,
2010-04,0.569,
2010-07,1.264,
2010-10,0.620,
2011-01,0.844,
2011-04,0.621,
2011-07,0.602,
2011-10,0.613,
2012-01,0.705,
2012-04,0.544,
2012-07,1.709,
2012-10,0.581,
2013-01,0.586,
2013-04,0.496,
2013-07,0.393,
2013-10,0.347,
2014-01,0.421,
2014-04,0.366,
2014-07,0.351,
